node,degree,Betweenness_centrality,Eigenvector_centrality,Closeness_centrality,betwennes/degree
DHX15,22,0.002193551475374785,0.017761808899724497,0.34399016292652934,9.97068852443084e-05
ARRB2,41,0.008808111251512108,0.047477180434194695,0.3828258638385221,0.00021483198174419775
CAD,16,0.0020095956546823273,0.015981066998725688,0.34676169817167646,0.00012559972841764546
HDAC6,23,0.002529341159659905,0.028580898675767366,0.35188679245283017,0.00010997135476782197
RPL7,22,0.0011355811892342204,0.013693366484579085,0.33057607090103397,5.161732678337365e-05
RPS13,28,0.0019344315813064098,0.012431869362134695,0.3229437229437229,6.908684218951464e-05
MYC,67,0.021236804943618664,0.13394730021129864,0.42004504504504503,0.0003169672379644577
HSP90AA1,80,0.043093177579910796,0.08951693785443174,0.41675977653631285,0.000538664719748885
TP53,188,0.13084489564684637,0.26387107153661477,0.4711578947368421,0.0006959834874832254
GNL3,8,0.0008198167294184554,0.013821230173893827,0.3329366260041654,0.00010247709117730693
PARD6B,3,7.82674717642155e-05,0.0021500071434664494,0.28795676788471436,2.60891572547385e-05
PARD6A,5,7.562335753092416e-05,0.0018027284403077414,0.27732342007434946,1.5124671506184831e-05
LTBR,3,2.302092223522729e-06,0.0018541197196244759,0.27677467227306457,7.673640745075763e-07
BIRC2,29,0.010050135438391476,0.014066870521976022,0.34043200486766045,0.0003465563944272923
PSMC1,28,0.001688874538735224,0.01078250693655101,0.3166383701188455,6.031694781197228e-05
ADRM1,22,0.00033839612868878996,0.008024016125292806,0.295796986518636,1.5381642213126815e-05
CCNA2,17,0.0004294956525868085,0.03626744466007297,0.3469767441860465,2.5264450152165205e-05
CDK3,8,0.0002187456827008646,0.006792263342218946,0.30623973727422005,2.7343210337608075e-05
SRF,26,0.00700523718356815,0.035588121511979924,0.3341295909226635,0.0002694321993680058
ELK4,1,0.0,0.0010775290559298296,0.25050369375419745,0.0
SNRNP200,43,0.011297990932149183,0.03178206745047256,0.3589990375360924,0.0002627439751662601
SNRNP70,25,0.0016574250711734126,0.015327553669491806,0.3293113596233078,6.62970028469365e-05
HNRNPH3,16,0.00012111972049505735,0.010879012169756378,0.31592320722755507,7.569982530941084e-06
HNRNPD,33,0.004406320067839967,0.0384118384754842,0.3665247297739928,0.00013352485054060506
HNRNPK,42,0.009123879527488566,0.045210615796620855,0.38126064735945486,0.00021723522684496586
RBM42,2,0.0,0.0017390519367751424,0.2791916167664671,0.0
DDX5,37,0.005903542725596851,0.062343696362946247,0.3793220338983051,0.00015955520879991488
HDAC1,92,0.018845822593130494,0.15892639992168212,0.4025179856115108,0.00020484589775141842
CUL3,34,0.0065829412935619995,0.029792597586711458,0.36437642461738845,0.00019361592039888234
COPS7A,13,8.379319028986434e-05,0.010587088570825982,0.3130945719082261,6.4456300222972565e-06
USP14,21,0.0030002367757156405,0.012567673378576193,0.33126110124333924,0.00014286841789122096
PSMD13,10,0.0002858143890371543,0.0022931558765440967,0.27339359882726605,2.8581438903715428e-05
SNRPA1,22,0.0005744450331190491,0.012338076118134842,0.31708699348257297,2.6111137869047685e-05
SNRPE,29,0.0017668678134611449,0.008599903412203893,0.3018613434043701,6.0926476326246376e-05
RAF1,45,0.015480413308282462,0.05336728558779844,0.39003136981526665,0.00034400918462849917
MAPK6,5,0.0006294196406475915,0.0034894217976909033,0.30226904376012964,0.0001258839281295183
EED,19,0.002875938045249047,0.019641790908031493,0.3357335733573357,0.00015136516027626563
HDAC2,54,0.009954229304797106,0.09792197116134517,0.39112198531981823,0.00018433757971846493
GRB2,73,0.03759494922678267,0.03633100220172413,0.37855209742895807,0.000514999304476475
ARHGAP17,3,0.00020449879342361623,0.002215130007023216,0.28692307692307695,6.816626447453874e-05
NPM1,46,0.010565444731154167,0.08148261849062924,0.3983624065503738,0.0002296835811120471
NCL,46,0.014027950633065098,0.06273970316708599,0.4058759521218716,0.00030495544854489343
PSMD11,36,0.005014623165438804,0.027740841428788566,0.34209721797615406,0.00013929508792885568
SMAD3,55,0.005297456139154621,0.11438593241181805,0.3903034530868504,9.631738434826584e-05
UBTF,9,0.00023645024093439722,0.022585948960739448,0.3364401683704149,2.6272248992710803e-05
CDK2,52,0.013207280768177624,0.09035662106631263,0.4023732470334412,0.00025398616861880044
CDH1,21,0.003525761155373978,0.03204593190177258,0.35819462227912935,0.0001678933883511418
ILK,15,0.002768193078862821,0.015084630705310909,0.33765841882920944,0.0001845462052575214
CHEK1,17,0.0008709573305598916,0.04237036262837475,0.3686985172981878,5.123278415058186e-05
ATM,24,0.0008277600100557537,0.051626554545004644,0.3577365728900256,3.4490000418989737e-05
NUTF2,7,0.0010161618468395991,0.0010067523131789124,0.27581957111165883,0.00014516597811994273
RAN,24,0.00564030976204742,0.01409785449683818,0.3302833530106257,0.00023501290675197585
CUL1,54,0.012449125988590772,0.060615269980113066,0.387331256490135,0.00023053937015908837
FBXW11,25,0.0019375642342507465,0.043507829241946634,0.37275149900066623,7.750256937002986e-05
SP1,63,0.009061283294444339,0.14211921813488754,0.4005010737294202,0.00014382989356260856
HDAC4,31,0.002719175892816481,0.06206462452135063,0.36508972267536705,8.77153513811768e-05
YWHAE,51,0.018837557821343633,0.0407010256240548,0.3937368050668543,0.00036936387884987514
ILF2,16,0.004662246279605179,0.014672930364761142,0.3357335733573357,0.0002913903924753237
GDI1,9,0.0025544805974758895,0.0012512578732509474,0.2867760123013839,0.00028383117749732105
RAB1B,7,1.612117417159988e-05,0.00019297434527381816,0.24210298572046732,2.3030248816571258e-06
HDAC3,38,0.0032283980721652754,0.07667931973960816,0.35934489402697495,8.495784400434935e-05
RELA,76,0.015363672588640642,0.1447761313964436,0.40324324324324323,0.00020215358669264003
SMURF1,28,0.0059384073612159475,0.034386089576037344,0.3652088772845953,0.00021208597718628384
MAP3K2,13,0.0010467149609931013,0.016844768462155515,0.3390909090909091,8.05165354610078e-05
FBL,15,0.0013324413761617066,0.010948054908711615,0.32748024582967517,8.88294250774471e-05
RUVBL2,31,0.0061769850904158105,0.03626628657864918,0.3627228525121556,0.00019925758356180033
SRSF2,21,0.0008200394708357154,0.009142250165951707,0.30792515134837645,3.9049498611224545e-05
SF3B3,25,0.005261010989405696,0.015506206914269993,0.3442017840664411,0.00021044043957622785
U2AF2,49,0.004505935182356662,0.026910648195440878,0.34251606978879706,9.195786086442167e-05
SF3A2,51,0.005225261564242579,0.024718457418035984,0.3362379807692308,0.00010245610910279567
BUB1B,8,0.00010550317881986393,0.002894544524977949,0.2864090094701817,1.3187897352482991e-05
PLK1,26,0.005409585174313686,0.03591585975238707,0.3617846750727449,0.00020806096824283406
DDB1,24,0.0024159672170851985,0.02503690142615417,0.3435677003377341,0.00010066530071188328
TRAF6,65,0.022754853276221242,0.05829772766973254,0.39568599717114566,0.0003500746657880191
BLNK,5,2.09427945008908e-05,0.003562736716844002,0.2991178829190056,4.18855890017816e-06
HSPA5,35,0.006544758490522085,0.039463515394600246,0.3823026990092245,0.00018699309972920243
LGALS3BP,10,0.0017535694472169438,0.006903186051097621,0.3184405236198065,0.00017535694472169437
EWSR1,9,0.00038672950994587827,0.008670417848493315,0.3169073916737468,4.2969945549542027e-05
JUND,8,0.00012624141554074634,0.020819510707280768,0.335431654676259,1.5780176942593293e-05
EP300,113,0.02522999232185639,0.20306536737872116,0.4153674832962138,0.00022327426833501228
BCL2,30,0.009269189718880336,0.04628627946865958,0.3731243747915972,0.00030897299062934453
BID,8,0.0003095181161732643,0.0043268233189070636,0.2943962115232833,3.868976452165804e-05
CFL1,10,0.0004014487563469548,0.006363139095984933,0.3140611843951726,4.0144875634695476e-05
ACTB,19,0.0022628091539818656,0.02449412930907695,0.3591142490372272,0.0001190952186306245
