node,degree,Betweenness_centrality,Eigenvector_centrality,Closeness_centrality,betwennes/degree
IFNG,8,0.0003574436857236043,0.00010475119738558994,0.29149818558838775,4.468046071545054e-05
RP3-503F13.3,1,0.0,7.016707716012778e-07,0.22571451509312782,0.0
GOPC,42,0.00031884223865545944,0.004288995013393335,0.3750416861201894,7.591481872749034e-06
IFNGR2,8,6.538134065575734e-05,0.0010675866289810284,0.3365453674886282,8.172667581969667e-06
STAT6,47,0.0005438541935869343,0.005285063577503112,0.3741682193239287,1.1571365820998602e-05
CD28,16,0.0009009354727518745,0.000893726637723214,0.32798646756882877,5.6308467046992156e-05
PIK3CA,71,0.00026493850563842505,0.011443843650757287,0.3967682754727632,3.7315282484285218e-06
DUSP14,25,8.591214335750348e-05,0.002977363724052714,0.368045555701008,3.436485734300139e-06
PIK3R1,190,0.0019299909601340716,0.02035572250885177,0.41716744565620595,1.0157847158600377e-05
CD80,7,1.8991602990075743e-05,5.7055749967022514e-05,0.2885217302067833,2.713086141439392e-06
DOK1,40,4.8602101060034025e-05,0.002644062484025326,0.3529153329567564,1.2150525265008506e-06
PIK3R2,89,0.00040194238827740916,0.014363981944192448,0.40646233916437763,4.5162066098585295e-06
RP3-370M22.1,1,0.0,5.9863716183149685e-06,0.24699112711938856,0.0
RP23-28I4.1,1,0.0,5.9863716183149685e-06,0.24699112711938856,0.0
GRB2,330,0.008445150360658795,0.04268137863897842,0.4640587604192457,2.5591364729269074e-05
VAV1,71,0.00036285225104921764,0.007695441267708052,0.38382252559726965,5.1105950852002484e-06
HLA-B,48,0.0016304059971597583,0.0017642389462511163,0.35152538134533634,3.396679160749497e-05
CDABP0067,3,0.0,0.00017756564204922612,0.306397122929381,0.0
TRIB3,30,7.418720560813285e-05,0.004403255631643933,0.37738255033557044,2.4729068536044286e-06
RP5-1103G7.7,2,1.1433340345124429e-05,0.0002145555079640185,0.3079408543263965,5.716670172562214e-06
LILRB2,7,1.003172057920053e-05,0.00010703376470405037,0.29077464060399216,1.43310293988579e-06
XXbac-BCX105G6.12-005,2,0.0,3.335767979348077e-05,0.27409212771143066,0.0
LILRB1,8,1.470009130641751e-05,0.0001363016952876386,0.29281883039108475,1.8375114133021887e-06
XXbac-BCX85G21.4,2,0.0,3.335767979348077e-05,0.27409212771143066,0.0
ARHGEF4,8,3.4748033610200526e-05,0.0010951000655687036,0.34091184673214503,4.343504201275066e-06
PCK1,59,0.00041081838484362335,0.010334745073434333,0.39879432624113476,6.96302347192582e-06
MMS19,83,0.0004325648132119384,0.012543941623813665,0.4011843607305936,5.211624255565523e-06
RP11-452K12.5,2,0.0,3.335767979348077e-05,0.27409212771143066,0.0
SIAE,6,6.149752615386932e-06,0.00037685883232950354,0.30900697917239106,1.0249587692311553e-06
EDEM1,13,1.9277596414820934e-05,0.001979411538363348,0.35934304703476483,1.4828920319093026e-06
CXCR4,29,0.0003211174164309547,0.002636226487128243,0.3607261996407493,1.1073014359688093e-05
FAF2,127,0.0009713458798127629,0.019249044260460486,0.41239457279061237,7.648392754431203e-06
ERBB3,109,0.0006483698246246371,0.014699116738094903,0.4139733490392402,5.948347014904928e-06
ADRB2,325,0.03448400381859443,0.02153830471733097,0.4342084942084942,0.0001061046271341367
PI4KA,35,0.00010324804379594457,0.006314143239748241,0.383194766253237,2.949944108455559e-06
PTPRO,32,0.00015056189015460198,0.003062258789091694,0.36146824376446385,4.705059067331312e-06
ASIC4,5,6.406984600631948e-06,7.477220701469508e-05,0.2921949698607358,1.2813969201263896e-06
TCTN2,56,0.00010774460788976663,0.004604972318128985,0.36809374181722965,1.9240108551744043e-06
HLA-G,14,1.5985710726370918e-05,0.00020447322304336323,0.3006951871657754,1.1418364804550655e-06
DADB-15K14.8,2,0.0,3.335767979348077e-05,0.27409212771143066,0.0
ADAM21,6,9.952578357360825e-06,0.0007970895058397704,0.3315448113207547,1.6587630595601376e-06
EGFR,586,0.01577833692163527,0.07024850019161744,0.4793691389599318,2.692548962736394e-05
TMPRSS11B,7,5.741649322800509e-06,0.00032202965558965764,0.3138885787652116,8.202356175429298e-07
TMEM30A,13,8.65613300138597e-05,0.0013728457665387215,0.3539149043303122,6.658563847219977e-06
SDHA,139,0.0009867531328559454,0.027853808798060233,0.43280480295566504,7.098943401841333e-06
Tap1,3,2.0749485558412914e-07,0.00026961215793393635,0.30669793825679065,6.916495186137638e-08
Tap2,3,2.0749485558412914e-07,0.00026961215793393635,0.30669793825679065,6.916495186137638e-08
env,58,0.000531606787125391,0.0077106490981818255,0.38390114016522153,9.165634260782604e-06
HIV1gp8,6,0.00010017015062257874,0.0005093944923575793,0.3288881090249751,1.6695025103763122e-05
HLA-C,88,0.008961707767419587,0.003216100690851722,0.3686246230496919,0.00010183758826613167
KIR3DL1,9,0.0003770345623512017,0.00012104568071689034,0.2947373938567984,4.189272915013352e-05
XXbac-BCX195L8.4,1,0.0,8.107900594146346e-07,0.22765182186234817,0.0
KIR2DS2,7,1.8593449904256655e-05,0.00010648613684905334,0.2958228114478115,2.6562071291795223e-06
CU464060.1,2,1.7810728064423003e-06,2.235240877610178e-05,0.2700768491834774,8.905364032211501e-07
XXbac-BCX101P6.2,2,0.0,0.0001657495809724325,0.3056310468529188,0.0
UBC,515,0.015441572189688016,0.07421942871465102,0.48340784044016505,2.9983635319782555e-05
KIR2DL1,3,0.0,3.520264471982889e-05,0.27413221528861154,0.0
