Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of cellular amine metabolic process (GO:0033238)	27/51	5.865511490700661E-70	2.993170513704547E-66	0	0	341.5559772296015	54448.07595390162	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of cellular amino acid metabolic process (GO:0006521)	27/51	5.865511490700661E-70	1.4965852568522736E-66	0	0	341.5559772296015	54448.07595390162	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of cellular ketone metabolic process (GO:0010565)	27/61	4.029851606836414E-67	6.854777583228741E-64	0	0	285.5631940772078	43656.750241047324	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	27/62	7.137807120770029E-67	9.106057434322365E-64	0	0	280.9573361082206	42791.99252797975	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
negative regulation of cell cycle G2/M phase transition (GO:1902750)	27/69	2.8521438288076007E-65	2.910897991681037E-62	0	0	252.45441795231417	37519.76552629085	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	27/72	1.1982913385851269E-64	1.0191467834666503E-61	0	0	241.93548387096774	35609.16515178006	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	27/75	4.6764010649730624E-64	3.409096376365363E-61	0	0	232.25806451612902	33868.54849720294	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)	27/76	7.25223129935714E-64	4.6260170400774357E-61	0	0	229.20203735144312	33322.34034504409	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of hematopoietic stem cell differentiation (GO:1902036)	27/76	7.25223129935714E-64	4.112015146735498E-61	0	0	229.20203735144312	33322.34034504409	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
regulation of hematopoietic progenitor cell differentiation (GO:1901532)	27/77	1.116694146387036E-63	5.6984902290130454E-61	0	0	226.2253875157101	32791.93281284004	PSMD10;PSMD12;PSMD11;PSMD14;PSMB10;PSMA8;PSMB6;PSMD8;PSMD9;PSMB4;PSMD6;PSMB5;PSMD7;PSMD4;PSMB3;PSMB1;PSMD3;PSMD1;PSMA5;PSMA6;PSMA3;PSMC6;PSMA1;PSMC3;PSMA2;PSMC1;PSMC2
