Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ficolin-1-rich granule lumen (GO:1904813)	11/123	2.2990869305051336E-17	1.0253927710052896E-14	0	0	57.69735116706006	2210.4682914174005	PSMA5;PSMD12;PSMD6;PSMD11;PSMD7;PSMD14;PSMC3;PSMA2;PSMB1;PSMD3;PSMC2
cytoplasmic vesicle lumen (GO:0060205)	11/129	3.9469405229787613E-17	8.801677366242639E-15	0	0	55.01375343835959	2077.924803129537	PSMA5;PSMD12;PSMD6;PSMD11;PSMD7;PSMD14;PSMC3;PSMA2;PSMB1;PSMD3;PSMC2
ficolin-1-rich granule (GO:0101002)	11/184	2.1322019637683695E-15	3.169873586135643E-13	0	0	38.569424964936886	1302.937702654568	PSMA5;PSMD12;PSMD6;PSMD11;PSMD7;PSMD14;PSMC3;PSMA2;PSMB1;PSMD3;PSMC2
secretory granule lumen (GO:0034774)	12/317	2.2010140607277247E-14	2.454130677711413E-12	0	0	24.42250941284217	768.0213235629992	PSMA5;PSMD12;PSMD6;PSMD11;PSMD7;PSMD14;PSMC3;PSMA2;PSMB1;PSMD3;PSMC2;PSMD1
nuclear proteasome complex (GO:0031595)	5/8	3.556928496960315E-13	3.172780219288601E-11	0	0	403.2258064516129	11558.350329928135	PSMD12;PSMC6;PSMC3;PSMC1;PSMC2
cytosolic proteasome complex (GO:0031597)	5/9	7.994590788609435E-13	5.942645819533014E-11	0	0	358.4229390681004	9983.813995469553	PSMC6;PSMC3;PSMC1;PSMC2;PSMD1
P-body (GO:0000932)	4/68	3.5876399351571673E-6	2.2858391586858524E-4	0	0	37.95066413662239	475.8260330673121	PSMA6;PSMC3;PSMA2;PSMC2
cytosolic part (GO:0044445)	4/159	1.0236873075408603E-4	0.0057070567395402965	0	0	16.230472712517752	149.10820459681872	PSMC6;PSMC3;PSMC1;PSMC2
cytoplasmic ribonucleoprotein granule (GO:0036464)	4/170	1.325231826270904E-4	0.0065672599390758125	0	0	15.180265654648956	135.54084196765012	PSMA6;PSMC3;PSMA2;PSMC2
polysome (GO:0005844)	2/63	0.004281356167811724	0.19094848508440287	0	0	20.48131080389145	111.69453062857605	PSMA6;PSMA1
N-terminal protein acetyltransferase complex (GO:0031414)	1/10	0.015395641764484845	0.6242232933600219	0	0	64.51612903225806	269.269084640093	NAA15
contractile fiber (GO:0043292)	1/26	0.03955281953600642	1.0	0	0	24.81389578163772	80.15181878144317	PSMA6
myofibril (GO:0030016)	1/27	0.041043446358547446	1.0	0	0	23.894862604540023	76.29926179324352	PSMA6
nuclear matrix (GO:0016363)	1/59	0.08757891647548653	1.0	0	0	10.934937124111537	26.628922794000324	PSMA6
intermediate filament cytoskeleton (GO:0045111)	1/71	0.10445996552065845	1.0	0	0	9.086778736937756	20.526591422500992	PSMD10
nuclear periphery (GO:0034399)	1/78	0.11416724371228316	1.0	0	0	8.271298593879239	17.949469442072633	PSMA6
ribonucleoprotein granule (GO:0035770)	1/80	0.11692199671950551	1.0	0	0	8.064516129032258	17.308453719590357	PSMC2
azurophil granule lumen (GO:0035578)	1/90	0.13057187592621022	1.0	0	0	7.168458781362007	14.593773695042701	PSMD1
centrosome (GO:0005813)	2/461	0.1596002194619067	1.0	0	0	2.798964383178224	5.136332569848914	PSMB5;PSMA1
microtubule organizing center (GO:0005815)	2/507	0.18504664698946788	1.0	0	0	2.545014951962843	4.293815205950827	PSMB5;PSMA1
azurophil granule (GO:0042582)	1/154	0.21321777250448626	1.0	0	0	4.189359028068706	6.4744081669439995	PSMD1
vacuolar lumen (GO:0005775)	1/161	0.2217816690893113	1.0	0	0	4.007212983370066	6.035110613532309	PSMD1
cytoplasmic vesicle (GO:0031410)	1/215	0.2848810421449348	1.0	0	0	3.000750187546887	3.7679927436762846	USP14
cytoskeleton (GO:0005856)	1/520	0.5583699957376577	1.0	0	0	1.240694789081886	0.7229943691552376	PSMD10
integral component of plasma membrane (GO:0005887)	1/1463	0.9052669002404731	1.0	0	0	0.4409851608493375	0.04388925159041692	ADRM1
