Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
peptidase activity, acting on L-amino acid peptides (GO:0070011)	14/185	4.707942444679868E-21	5.418841753826528E-18	0	0	48.823016564952056	2285.1630473924433	PSMD14;PSMB10;PSMA8;PSMB6;PSMA5;PSMA6;PSMB4;PSMA3;PSMB5;PSMA1;PSMB3;PSMA2;PSMB1;PSMD1
endopeptidase activity (GO:0004175)	14/354	4.6304519682338614E-17	2.6648251077185873E-14	0	0	25.51485328959359	959.6465999695658	USP14;PSMB10;PSMA8;PSMB6;PSMA5;PSMA6;PSMB4;PSMA3;PSMB5;PSMA1;PSMB3;PSMA2;PSMB1;PSMD1
proteasome-activating ATPase activity (GO:0036402)	4/6	7.064616576951065E-11	2.710457893356892E-8	0	0	430.10752688172045	10053.048292064112	PSMC6;PSMC3;PSMC1;PSMC2
TBP-class protein binding (GO:0017025)	4/21	2.773774648380714E-8	7.981536550715504E-6	0	0	122.88786482334869	2138.3068095145914	PSMC6;PSMC3;PSMC1;PSMC2
proteasome binding (GO:0070628)	3/20	3.775486561735298E-6	8.691170065114655E-4	0	0	96.7741935483871	1208.417544488037	USP14;PSMD14;ADRM1
ATPase activity, coupled (GO:0042623)	4/94	1.3062126149793414E-5	0.00250575119973537	0	0	27.45367192862045	308.7383294100293	PSMC6;PSMC3;PSMC1;PSMC2
ATPase activity (GO:0016887)	5/203	1.405579833233249E-5	0.002311174840073528	0	0	15.890672175433021	177.53814642660134	PSMD6;PSMC6;PSMC3;PSMC1;PSMC2
endopeptidase regulator activity (GO:0061135)	3/36	2.32530147353243E-5	0.003345527495044784	0	0	53.763440860215056	573.6062241022241	USP14;PSMD14;ADRM1
peptidase activator activity (GO:0016504)	2/16	2.75254319786104E-4	0.03520196911931175	0	0	80.64516129032258	661.1141200353907	PSMD14;ADRM1
nucleoside-triphosphatase activity (GO:0017111)	5/424	4.509268142406484E-4	0.05190167631909863	0	0	7.608034083992697	58.613858080040266	PSMD6;PSMC6;PSMC3;PSMC1;PSMC2
ubiquitin-like protein-specific protease activity (GO:0019783)	2/74	0.0058588118588584264	0.6130447681405499	0	0	17.436791630340018	89.62176896968961	USP14;PSMD14
thiol-dependent ubiquitinyl hydrolase activity (GO:0036459)	2/92	0.008924332290442406	0.8559922055249342	0	0	14.025245441795231	66.18476532273358	USP14;PSMD14
Lys63-specific deubiquitinase activity (GO:0061578)	1/11	0.016922534733464	1.0	0	0	58.65102639296188	239.2439371895415	PSMD14
peptide alpha-N-acetyltransferase activity (GO:0004596)	1/11	0.016922534733464	1.0	0	0	58.65102639296188	239.2439371895415	NAA15
peptide N-acetyltransferase activity (GO:0034212)	1/15	0.023007227131928758	1.0	0	0	43.01075268817205	162.23427480788808	NAA15
bHLH transcription factor binding (GO:0043425)	1/22	0.03356785849795628	1.0	0	0	29.32551319648094	99.53625402235005	PSMD9
NF-kappaB binding (GO:0051059)	1/24	0.03656483627172508	1.0	0	0	26.881720430107528	88.94269510756361	PSMA6
acetyltransferase activity (GO:0016407)	1/24	0.03656483627172508	1.0	0	0	26.881720430107528	88.94269510756361	NAA15
peptidase inhibitor activity (GO:0030414)	1/36	0.05435872736369502	1.0	0	0	17.921146953405017	52.189069914643916	USP14
ribosome binding (GO:0043022)	1/38	0.05729328816000485	1.0	0	0	16.97792869269949	48.54960606452872	NAA15
RNA binding (GO:0003723)	5/1387	0.060105585618121536	1.0	0	0	2.325743656534177	6.539182973281971	PSMA6;PSMD4;PSMA1;PSMC1;NAA15
polyubiquitin modification-dependent protein binding (GO:0031593)	1/43	0.06459118658971515	1.0	0	0	15.003750937734434	41.10543597900726	PSMD4
transferase activity, transferring acyl groups other than amino-acyl groups (GO:0016747)	1/56	0.0833107775481581	1.0	0	0	11.52073732718894	28.6310755281991	NAA15
ubiquitin binding (GO:0043130)	1/62	0.09182782112653406	1.0	0	0	10.40582726326743	24.847450206964346	ADRM1
cysteine-type peptidase activity (GO:0008234)	1/65	0.09605757528589014	1.0	0	0	9.925558312655088	23.253672702001392	USP14
thiol-dependent ubiquitin-specific protease activity (GO:0004843)	1/76	0.11140417537718053	1.0	0	0	8.488964346349745	18.62980026525617	USP14
cysteine-type endopeptidase activity (GO:0004197)	1/81	0.11829626253520985	1.0	0	0	7.964954201513341	17.001697344530708	USP14
metallopeptidase activity (GO:0008237)	1/102	0.14668233749516316	1.0	0	0	6.325110689437065	12.140961416114461	PSMD14
endopeptidase inhibitor activity (GO:0004866)	1/111	0.1585752065631873	1.0	0	0	5.812263876780006	10.70343684302024	USP14
protease binding (GO:0002020)	1/118	0.16771416002758419	1.0	0	0	5.467468562055768	9.762133280805488	ADRM1
transcription coactivator activity (GO:0003713)	1/291	0.36536567732395275	1.0	0	0	2.217049107637734	2.2322504627869333	PSMD9
cadherin binding (GO:0045296)	1/313	0.3869786137511901	1.0	0	0	2.061218179944347	1.9568913719554095	PSMB6
purine ribonucleoside triphosphate binding (GO:0035639)	1/396	0.46228520072666823	1.0	0	0	1.6291951775822746	1.2570434356017126	PSMA6
protein homodimerization activity (GO:0042803)	1/664	0.6491755670057043	1.0	0	0	0.971628449280995	0.419794092103184	PSMD7
