Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
regulation of actin cytoskeleton reorganization (GO:2000249)	2/30	1.9572323532665868E-4	0.9987756698719392	0	0	95.23809523809524	813.219901075855	ARHGDIA;ARHGDIB
regulation of Rho protein signal transduction (GO:0035023)	2/57	7.103965063044457E-4	1.0	0	0	50.125313283208015	363.3928463271031	ARHGDIA;ARHGDIB
negative regulation of cell adhesion (GO:0007162)	2/65	9.228750422321747E-4	1.0	0	0	43.956043956043956	307.1655698823478	ARHGDIA;ARHGDIB
regulation of actin cytoskeleton organization (GO:0032956)	2/75	0.0012263294238969505	1.0	0	0	38.095238095238095	255.3801820738857	ARHGDIA;ARHGDIB
regulation of Ras protein signal transduction (GO:0046578)	2/90	0.0017593156889336272	1.0	0	0	31.746031746031747	201.35969392525033	ARHGDIA;ARHGDIB
regulation of small GTPase mediated signal transduction (GO:0051056)	2/140	0.004189676146358302	1.0	0	0	20.408163265306122	111.73738449130339	ARHGDIA;ARHGDIB
nicotinamide nucleotide biosynthetic process (GO:0019359)	1/9	0.006283564258093123	1.0	0	0	158.73015873015873	804.7330003937147	HAAO
indolalkylamine catabolic process (GO:0046218)	1/9	0.006283564258093123	1.0	0	0	158.73015873015873	804.7330003937147	HAAO
tryptophan catabolic process (GO:0006569)	1/10	0.006979473680213335	1.0	0	0	142.85714285714286	709.254538433111	HAAO
dicarboxylic acid biosynthetic process (GO:0043650)	1/10	0.006979473680213335	1.0	0	0	142.85714285714286	709.254538433111	HAAO
negative regulation of reproductive process (GO:2000242)	1/10	0.006979473680213335	1.0	0	0	142.85714285714286	709.254538433111	ARHGDIB
tryptophan metabolic process (GO:0006568)	1/10	0.006979473680213335	1.0	0	0	142.85714285714286	709.254538433111	HAAO
regulation of trophoblast cell migration (GO:1901163)	1/11	0.007674930787541144	1.0	0	0	129.8701298701299	632.4410394103229	ARHGDIB
aromatic amino acid family catabolic process (GO:0009074)	1/20	0.013913731760820029	1.0	0	0	71.42857142857143	305.3485021451565	HAAO
NAD biosynthetic process (GO:0009435)	1/22	0.01529517792933681	1.0	0	0	64.93506493506494	271.4427057322615	HAAO
negative regulation of axonogenesis (GO:0050771)	1/23	0.015985227036696047	1.0	0	0	62.11180124223603	256.9000182274707	ARHGDIA
NAD metabolic process (GO:0019674)	1/23	0.015985227036696047	1.0	0	0	62.11180124223603	256.9000182274707	HAAO
semaphorin-plexin signaling pathway (GO:0071526)	1/29	0.02011610266484507	1.0	0	0	49.26108374384236	192.425352563759	ARHGDIA
negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	1/30	0.02080301457834001	1.0	0	0	47.61904761904762	184.41225576788	ARHGDIA
response to cadmium ion (GO:0046686)	1/31	0.02148947938555657	1.0	0	0	46.08294930875576	176.96736380250243	HAAO
response to zinc ion (GO:0010043)	1/32	0.022175497351954617	1.0	0	0	44.642857142857146	170.03425547051302	HAAO
negative regulation of multi-organism process (GO:0043901)	1/33	0.022861068741375043	1.0	0	0	43.29004329004329	163.56363074099934	ARHGDIB
positive regulation of axonogenesis (GO:0050772)	1/37	0.025598893875467085	1.0	0	0	38.610038610038615	141.5137504409143	ARHGDIA
alpha-amino acid catabolic process (GO:1901606)	1/39	0.026965133912219295	1.0	0	0	36.63003663003663	132.35203604600187	HAAO
regulation of intracellular signal transduction (GO:1902531)	2/422	0.03418413846074129	1.0	0	0	6.7704807041299935	22.857099053446042	ARHGDIA;ARHGDIB
negative regulation of neuron projection development (GO:0010977)	1/51	0.035125292681812	1.0	0	0	28.011204481792717	93.80486887352004	ARHGDIA
regulation of axonogenesis (GO:0050770)	1/55	0.037831194118660955	1.0	0	0	25.974025974025974	85.0550980635456	ARHGDIA
positive regulation of cell morphogenesis involved in differentiation (GO:0010770)	1/58	0.039855994355866974	1.0	0	0	24.63054187192118	79.37148921368117	ARHGDIA
dicarboxylic acid metabolic process (GO:0043648)	1/59	0.04053004806447805	1.0	0	0	24.213075060532688	77.62013686304675	HAAO
protein sumoylation (GO:0016925)	1/68	0.046576789586793774	1.0	0	0	21.008403361344538	64.42548192161703	SUMO4
negative regulation of developmental process (GO:0051093)	1/70	0.04791569572777685	1.0	0	0	20.408163265306122	62.00637043368508	ARHGDIB
response to metal ion (GO:0010038)	1/72	0.04925285580043781	1.0	0	0	19.841269841269842	59.737855699394025	HAAO
negative regulation of cellular process (GO:0048523)	2/534	0.052381202014913385	1.0	0	0	5.350454788657036	15.779601349337607	ARHGDIA;ARHGDIB
positive regulation of neuron projection development (GO:0010976)	1/97	0.06582088646897687	1.0	0	0	14.727540500736376	40.07095828392308	ARHGDIA
peptidyl-lysine modification (GO:0018205)	1/115	0.07758342547122989	1.0	0	0	12.422360248447205	31.756539924157508	SUMO4
