Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vasopressin-regulated water reabsorption	2/44	4.2326768610788395E-4	0.13036644732122826	0	0	64.93506493506494	504.38349035005086	ARHGDIA;ARHGDIB
Neurotrophin signaling pathway	2/119	0.003048659628690299	0.46949358281830605	0	0	24.009603841536613	139.08891358846296	ARHGDIA;ARHGDIB
Fluid shear stress and atherosclerosis	2/139	0.004131473102543401	0.4241645718611225	0	0	20.554984583761563	112.82880271697952	SUMO4;RAC3
Tryptophan metabolism	1/42	0.02901115928584133	1.0	0	0	34.01360544217687	120.41070476371729	HAAO
VEGF signaling pathway	1/59	0.04053004806447805	1.0	0	0	24.213075060532688	77.62013686304675	RAC3
Viral myocarditis	1/59	0.04053004806447805	1.0	0	0	24.213075060532688	77.62013686304675	RAC3
Fc epsilon RI signaling pathway	1/68	0.046576789586793774	1.0	0	0	21.008403361344538	64.42548192161703	RAC3
B cell receptor signaling pathway	1/71	0.04858449389017961	1.0	0	0	20.12072434607646	60.85414194652772	RAC3
Adherens junction	1/72	0.04925285580043781	1.0	0	0	19.841269841269842	59.737855699394025	RAC3
Pancreatic cancer	1/75	0.051255326641940394	1.0	0	0	19.047619047619047	56.58925203595328	RAC3
Colorectal cancer	1/86	0.05856426270354889	1.0	0	0	16.611295681063122	47.13672126095508	RAC3
Choline metabolism in cancer	1/99	0.0671346793118268	1.0	0	0	14.430014430014431	38.97625596298258	RAC3
Sphingolipid signaling pathway	1/119	0.0801785773482284	1.0	0	0	12.004801920768307	30.294104623650394	RAC3
Natural killer cell mediated cytotoxicity	1/131	0.08792341216396707	1.0	0	0	10.905125408942203	26.513513192667588	RAC3
Wnt signaling pathway	1/158	0.10512842873384214	1.0	0	0	9.041591320072333	20.366840374694366	RAC3
RNA transport	1/165	0.10953952979240406	1.0	0	0	8.658008658008658	19.14692460780096	SUMO4
Axon guidance	1/181	0.1195463399789491	1.0	0	0	7.892659826361483	16.76441357954267	RAC3
Chemokine signaling pathway	1/190	0.12512918060539086	1.0	0	0	7.518796992481203	15.627132559948922	RAC3
Focal adhesion	1/199	0.13067913499845	1.0	0	0	7.178750897343862	14.608832099824582	RAC3
Rap1 signaling pathway	1/206	0.1349731445586558	1.0	0	0	6.934812760055478	13.888207000886869	RAC3
Human immunodeficiency virus 1 infection	1/212	0.13863803973548888	1.0	0	0	6.738544474393531	13.314614372754368	RAC3
cAMP signaling pathway	1/212	0.13863803973548888	1.0	0	0	6.738544474393531	13.314614372754368	RAC3
Regulation of actin cytoskeleton	1/214	0.13985646388250858	1.0	0	0	6.675567423230974	13.131766624108078	RAC3
Human cytomegalovirus infection	1/225	0.14652923881610935	1.0	0	0	6.349206349206349	12.193843098897801	RAC3
Ras signaling pathway	1/232	0.15075048884589604	1.0	0	0	6.157635467980295	11.651041875746637	RAC3
MAPK signaling pathway	1/295	0.18787882682038903	1.0	0	0	4.842615012106537	8.096649211359047	RAC3
Pathways in cancer	1/530	0.3134852212303676	1.0	0	0	2.6954177897574123	3.126692887415882	RAC3
