Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	regulation of cellular amino acid metabolic process (GO:0006521)	23/51	3.7231765405817606e-33	1.8999369886588725e-29	0	0	45.324662528327906	3384.4256767978113	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of cellular amine metabolic process (GO:0033238)	23/51	3.7231765405817606e-33	9.499684943294362e-30	0	0	45.324662528327906	3384.4256767978113	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	24/62	1.4868964807928351e-32	2.5292109138286123e-29	0	0	38.9041984114119	2851.134326869163	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	negative regulation of cell cycle G2/M phase transition (GO:1902750)	24/69	3.33257908166739e-31	4.251537763437173e-28	0	0	34.95739567402229	2453.183880431493	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of cellular ketone metabolic process (GO:0010565)	23/61	6.526560870840576e-31	6.661008024779892e-28	0	0	37.89438998270038	2633.821448420317	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	24/72	1.1204335358237504e-30	9.529287222180995e-28	0	0	33.50083752093802	2310.3463013016994	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437)	24/76	5.133601523273854e-30	3.74239551046664e-27	0	0	31.73763554615181	2140.441533741581	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of hematopoietic stem cell differentiation (GO:1902036)	24/76	5.133601523273854e-30	3.274596071658311e-27	0	0	31.73763554615181	2140.441533741581	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of hematopoietic progenitor cell differentiation (GO:1901532)	24/77	7.395587409660609e-30	4.1932980612775655e-27	0	0	31.32545846113685	2101.207416723875	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	24/78	1.0592752875959725e-29	5.405481792602248e-27	0	0	30.92385001932741	2063.1583367135304	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	anaphase-promoting complex-dependent catabolic process (GO:0031145)	24/79	1.5087185582578178e-29	6.999082547990588e-27	0	0	30.532408879842247	2026.2438382254159	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	negative regulation of mitotic cell cycle phase transition (GO:1901991)	24/79	1.5087185582578178e-29	6.415825668991371e-27	0	0	30.532408879842247	2026.2438382254159	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	NIK/NF-kappaB signaling (GO:0038061)	24/80	2.137198480932824e-29	8.389326037077075e-27	0	0	30.15075376884422	1990.416236577906	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	positive regulation of ubiquitin protein ligase activity (GO:1904668)	24/82	4.2219127786023673e-29	1.5388872078005625e-26	0	0	29.415369530579724	1921.8437379012526	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436)	23/71	4.2334622653482943e-29	1.4402238626714895e-26	0	0	32.55715195696793	2127.022143577894	PSMD10;PSMD12;PSMD11;PSMD14;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439)	23/72	6.168137420321771e-29	1.967250328493875e-26	0	0	32.104969290898936	2085.3966052050096	PSMD10;PSMD12;PSMD11;PSMD14;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	23/75	1.8373423367752055e-28	5.515269379155221e-26	0	0	30.820770519262982	1968.3396134620846	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060)	24/87	2.1276667680259332e-28	6.031935287353522e-26	0	0	27.724831051810774	1766.5529478728477	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of stem cell differentiation (GO:2000736)	24/88	2.9009389293036514e-28	7.79131124012449e-26	0	0	27.409776153494743	1737.9812192923864	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	Wnt signaling pathway, planar cell polarity pathway (GO:0060071)	24/88	2.9009389293036514e-28	7.401745678118266e-26	0	0	27.409776153494743	1737.9812192923864	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	negative regulation of ubiquitin protein ligase activity (GO:1904667)	23/77	3.6937339072067514e-28	8.975773394512403e-26	0	0	30.020231025256148	1896.2502505305358	PSMD10;PSMD12;PSMD11;PSMD14;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of establishment of planar polarity (GO:0090175)	24/89	3.9386486301375005e-28	9.135874527087122e-26	0	0	27.10180114053413	1710.1655222620545	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	23/78	5.194185619286034e-28	1.1524317050094187e-25	0	0	29.635356268522102	1861.83659752806	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	24/93	1.2860282973316894e-27	2.734417667201505e-25	0	0	25.936132274274602	1605.9196338108593	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	interleukin-1-mediated signaling pathway (GO:0070498)	24/95	2.27199164234168e-27	4.637589340347837e-25	0	0	25.390108436921448	1557.6613345938254	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	positive regulation of canonical Wnt signaling pathway (GO:0090263)	24/113	2.1713161633471205e-25	4.261625531369368e-23	0	0	21.345666385022454	1212.2053200005078	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	stimulatory C-type lectin receptor signaling pathway (GO:0002223)	24/121	1.2633403315019283e-24	2.3877132265386447e-22	0	0	19.934382657087085	1096.9548495269494	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	tumor necrosis factor-mediated signaling pathway (GO:0033209)	24/123	1.9212026680036123e-24	3.5013918624365835e-22	0	0	19.61024635371982	1070.8977247669031	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	innate immune response activating cell surface receptor signaling pathway (GO:0002220)	24/124	2.3622135719146395e-24	4.156681330165657e-22	0	0	19.45209920570595	1058.2417201793996	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	non-canonical Wnt signaling pathway (GO:0035567)	24/127	4.341266505475022e-24	7.384494325813012e-22	0	0	18.992600799271948	1021.68561430355	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of mRNA stability (GO:0043488)	24/128	5.2980571662897134e-24	8.72128571599239e-22	0	0	18.84422110552764	1009.9504155320593	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	cellular response to hypoxia (GO:0071456)	24/132	1.1547412817381733e-23	1.841451487721843e-21	0	0	18.273184102329832	965.1088317674884	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	positive regulation of Wnt signaling pathway (GO:0030177)	24/140	5.0714662767647855e-23	7.842331033433546e-21	0	0	17.22900215362527	884.4650766393615	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	negative regulation of canonical Wnt signaling pathway (GO:0090090)	24/148	2.0273893057654254e-22	3.0428728315649903e-20	0	0	16.297704739915794	814.0723586054908	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of G2/M transition of mitotic cell cycle (GO:0010389)	24/149	2.396256996464744e-22	3.493742700845598e-20	0	0	16.188324171191525	805.9027612274492	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	cellular response to interleukin-1 (GO:0071347)	24/150	2.828615610265688e-22	4.0095626275516127e-20	0	0	16.08040201005025	797.8626675385715	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of primary metabolic process (GO:0080090)	23/139	9.832220286521707e-22	1.3560491924897368e-19	0	0	16.629912150681466	804.4089275025342	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	T cell receptor signaling pathway (GO:0050852)	24/163	2.1926689194417413e-21	2.9445235515555807e-19	0	0	14.797915960168945	703.9245424624477	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	proteasomal protein catabolic process (GO:0010498)	27/237	6.237986435892158e-21	8.162165328809662e-19	0	0	11.44965332994084	532.6794295300741	PSMD10;PSMD12;PSMD11;PSMD14;UBE3A;PSMA8;PSMB6;PSMD9;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;PSMB3;PSMD2;PSMB1;UBC;PSMD1;AMFR;SYVN1;PSMA3;PSMC6;PSMA1;PSMC4;PSMA2;PSMC1;PSMC2
GO_Biological_Process_2018	negative regulation of Wnt signaling pathway (GO:0030178)	24/174	1.0776169752463747e-20	1.3747698561705628e-18	0	0	13.862415525905387	637.3515822015453	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	Fc-epsilon receptor signaling pathway (GO:0038095)	24/182	3.197141955694036e-20	3.979272048757724e-18	0	0	13.253078579711746	594.9233365244727	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	Fc receptor signaling pathway (GO:0038093)	24/183	3.6486373164944666e-20	4.4330943395407764e-18	0	0	13.180657385287091	589.931270779355	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
GO_Biological_Process_2018	regulation of mitotic cell cycle phase transition (GO:1901990)	24/184	4.160477730385904e-20	4.937422757711456e-18	0	0	13.109023377758355	585.0042204915817	PSMD10;PSMD12;PSMD11;PSMD14;PSMA8;PSMB6;PSMD9;PSMD6;PSMA3;PSMB4;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMA2;PSMB3;PSMC4;PSMD2;PSMC1;UBC;PSMB1;PSMC2;PSMD1
