Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2018	proteasome-activating ATPase activity (GO:0036402)	4/6	1.4043923104928493e-07	0.00016164555493772698	0	0	67.00167504187604	1057.1853240172998	PSMC6;PSMC4;PSMC1;PSMC2
GO_Molecular_Function_2018	peptidase activity, acting on L-amino acid peptides (GO:0070011)	12/185	3.505129464275781e-07	0.0002017202006690712	0	0	6.519081895966318	96.89877404836956	PSMB6;PSMA3;PSMB4;PSMB5;PSMD14;PSMA1;PSMA2;PSMB3;PSMD2;PSMB1;PSMD1;PSMA8
GO_Molecular_Function_2018	proteasome binding (GO:0070628)	5/20	1.2733069803820937e-06	0.0004885254448065966	0	0	25.125628140703515	341.0525909613837	USP14;PSMD14;ADRM1;UBC;PSMG1
GO_Molecular_Function_2018	TBP-class protein binding (GO:0017025)	4/21	4.9842917209980515e-05	0.014342299427171891	0	0	19.1433357262503	189.64602352137	PSMC6;PSMC4;PSMC1;PSMC2
GO_Molecular_Function_2018	endopeptidase activity (GO:0004175)	12/354	0.00023390226081314994	0.05384430043918712	0	0	3.4068648326377655	28.483458712871286	PSMB6;USP14;PSMA3;PSMB4;PSMB5;PSMA1;PSMA2;PSMB3;PSMD2;PSMB1;PSMD1;PSMA8
GO_Molecular_Function_2018	ubiquitin-specific protease binding (GO:1990381)	3/16	0.000493848163386854	0.09473653934304482	0	0	18.84422110552764	143.4663778188443	AMFR;SYVN1;RAD23A
GO_Molecular_Function_2018	endopeptidase regulator activity (GO:0061135)	3/36	0.005441202395338237	0.8946891367191873	0	0	8.375209380234505	43.66629157439426	USP14;PSMD14;ADRM1
GO_Molecular_Function_2018	protease binding (GO:0002020)	5/118	0.006554011851859676	0.9429584551863108	0	0	4.258581040797206	21.41077387091071	AMFR;UBC;ADRM1;SYVN1;RAD23A
GO_Molecular_Function_2018	ubiquitin protein ligase activity involved in ERAD pathway (GO:1904264)	2/13	0.007148536351702206	0.9142183712010268	0	0	15.461925009663705	76.3950158374488	AMFR;SYVN1
GO_Molecular_Function_2018	peptidase activator activity (GO:0016504)	2/16	0.010784551657947264	1.0	0	0	12.562814070351758	56.90503229768203	PSMD14;ADRM1
GO_Molecular_Function_2018	ATPase activity, coupled (GO:0042623)	4/94	0.014471347457575662	1.0	0	0	4.2767026622474065	18.114336028661953	PSMC6;PSMC4;PSMC1;PSMC2
GO_Molecular_Function_2018	ATPase activity (GO:0016887)	5/203	0.05262529859653543	1.0	0	0	2.4754313439116764	7.289051941857713	PSMD6;PSMC6;PSMC4;PSMC1;PSMC2
GO_Molecular_Function_2018	protein phosphatase 2B binding (GO:0030346)	1/6	0.05824136438187025	1.0	0	0	16.75041876046901	47.62411136485098	SOD1
