Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteasome	22/45	9.165840516972578e-33	2.823078879227554e-30	0	0	49.13456169737577	3624.647992429257	PSMD12;PSMD11;PSMD14;ADRM1;PSMA8;PSMB6;PSMB4;PSMD6;PSMA3;PSMD7;PSMB5;PSMC6;PSMD4;PSMA1;PSMB3;PSMC4;PSMA2;PSMD2;PSMC1;PSMB1;PSMC2;PSMD1
KEGG_2019_Human	Epstein-Barr virus infection	13/201	1.1642755312084825e-07	1.7929843180610633e-05	0	0	6.500162504062601	103.78157256281678	PSMD12;PSMD11;PSMD14;ADRM1;PSMD6;PSMC6;PSMD7;PSMD4;PSMC4;PSMC1;PSMD2;PSMC2;PSMD1
KEGG_2019_Human	PPAR signaling pathway	2/74	0.1678656598003351	1.0	0	0	2.7162841233192987	4.847456915687474	UBC;PCK1
KEGG_2019_Human	Arginine biosynthesis	1/21	0.18949807120861506	1.0	0	0	4.785833931562575	7.9606433731998525	NOS2
KEGG_2019_Human	Peroxisome	2/83	0.2000688559272288	1.0	0	0	2.4217472906702184	3.896818289153216	NOS2;SOD1
KEGG_2019_Human	Proximal tubule bicarbonate reclamation	1/23	0.20556397950200286	1.0	0	0	4.369674459252786	6.912816070459268	PCK1
KEGG_2019_Human	Protein processing in endoplasmic reticulum	3/165	0.2266109438830504	1.0	0	0	1.8273184102329831	2.7126918876432016	AMFR;SYVN1;RAD23A
KEGG_2019_Human	Citrate cycle (TCA cycle)	1/30	0.25933964696895456	1.0	0	0	3.3500837520938016	4.5213289719583365	PCK1
KEGG_2019_Human	Prion diseases	1/35	0.2955181673902272	1.0	0	0	2.8715003589375447	3.5004306212658687	SOD1
KEGG_2019_Human	African trypanosomiasis	1/37	0.3094922686789796	1.0	0	0	2.7162841233192987	3.1857182322561437	VCAM1
KEGG_2019_Human	Pyruvate metabolism	1/39	0.3231905447052616	1.0	0	0	2.576987501610617	2.910741419937536	PCK1
KEGG_2019_Human	Nucleotide excision repair	1/47	0.37533216680478654	1.0	0	0	2.138351331123704	2.095464272288214	RAD23A
KEGG_2019_Human	Arginine and proline metabolism	1/49	0.3877304897677703	1.0	0	0	2.0510716849553887	1.9432771914994007	NOS2
KEGG_2019_Human	Malaria	1/49	0.3877304897677703	1.0	0	0	2.0510716849553887	1.9432771914994007	VCAM1
KEGG_2019_Human	Ubiquitin mediated proteolysis	2/137	0.3964366794572173	1.0	0	0	1.4671899644206432	1.357501301223191	SYVN1;UBE3A
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	1/51	0.39988394411979694	1.0	0	0	1.9706375012316484	1.80624872139783	SOD1
KEGG_2019_Human	Fanconi anemia pathway	1/54	0.4176654978474331	1.0	0	0	1.861157640052112	1.6249291107537218	SLX1B
KEGG_2019_Human	Mitophagy	1/65	0.4784944011736365	1.0	0	0	1.5461925009663704	1.1397151433229709	AMBRA1
KEGG_2019_Human	Glycolysis / Gluconeogenesis	1/68	0.4939574500364588	1.0	0	0	1.4779781259237363	1.0424266908562752	PCK1
KEGG_2019_Human	Adipocytokine signaling pathway	1/69	0.4990097394392039	1.0	0	0	1.4565581530842615	1.0124967817447441	PCK1
KEGG_2019_Human	Leishmaniasis	1/74	0.5235281730691199	1.0	0	0	1.3581420616596496	0.8789412377681237	NOS2
KEGG_2019_Human	Pertussis	1/76	0.5329978649661861	1.0	0	0	1.3224014810896587	0.8321050787044091	NOS2
KEGG_2019_Human	Salmonella infection	1/86	0.5776097586829732	1.0	0	0	1.1686338670094658	0.6414126403172714	NOS2
KEGG_2019_Human	Viral carcinogenesis	2/201	0.5966929738995698	1.0	0	0	1.0000250006250155	0.5163654885901365	PSMC1;UBE3A
KEGG_2019_Human	IL-17 signaling pathway	1/93	0.6062892281561755	1.0	0	0	1.080672178094775	0.540766339857148	MAPK6
KEGG_2019_Human	Small cell lung cancer	1/93	0.6062892281561755	1.0	0	0	1.080672178094775	0.540766339857148	NOS2
KEGG_2019_Human	NF-kappa B signaling pathway	1/95	0.6141215014985416	1.0	0	0	1.0579211848717271	0.5158026820787154	VCAM1
KEGG_2019_Human	Amoebiasis	1/96	0.6179793042966518	1.0	0	0	1.0469011725293131	0.5038738591690832	NOS2
KEGG_2019_Human	AGE-RAGE signaling pathway in diabetic complications	1/100	0.6330305302852147	1.0	0	0	1.0050251256281406	0.459534298394731	VCAM1
KEGG_2019_Human	HIF-1 signaling pathway	1/100	0.6330305302852147	1.0	0	0	1.0050251256281406	0.459534298394731	NOS2
KEGG_2019_Human	Longevity regulating pathway	1/102	0.6403333791418696	1.0	0	0	0.9853187506158242	0.4392219266362345	SOD1
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	1/103	0.6439303936500358	1.0	0	0	0.9757525491535344	0.42949177256542603	NOS2
KEGG_2019_Human	Glucagon signaling pathway	1/103	0.6439303936500358	1.0	0	0	0.9757525491535344	0.42949177256542603	PCK1
KEGG_2019_Human	Insulin resistance	1/108	0.6613855799209482	1.0	0	0	0.930578820026056	0.3847182961374643	PCK1
KEGG_2019_Human	TNF signaling pathway	1/110	0.668126844957441	1.0	0	0	0.9136592051164916	0.3684579587126828	VCAM1
KEGG_2019_Human	Leukocyte transendothelial migration	1/112	0.6747345626680002	1.0	0	0	0.8973438621679827	0.3530472953524559	VCAM1
KEGG_2019_Human	Toxoplasmosis	1/113	0.677989165919199	1.0	0	0	0.8894027660426024	0.3456432344373394	NOS2
KEGG_2019_Human	AMPK signaling pathway	1/120	0.6998818418659946	1.0	0	0	0.8375209380234505	0.2988641168516744	PCK1
KEGG_2019_Human	Autophagy	1/128	0.7230939091903971	1.0	0	0	0.7851758793969849	0.2545667219126649	AMBRA1
KEGG_2019_Human	Relaxin signaling pathway	1/130	0.7286121749102339	1.0	0	0	0.7730962504831852	0.2447728523706789	NOS2
KEGG_2019_Human	FoxO signaling pathway	1/132	0.7340210120631236	1.0	0	0	0.7613826709304096	0.2354329404510152	PCK1
KEGG_2019_Human	Insulin signaling pathway	1/137	0.7470784199586605	1.0	0	0	0.7335949822103216	0.21390538054871586	PCK1
KEGG_2019_Human	Apelin signaling pathway	1/137	0.7470784199586605	1.0	0	0	0.7335949822103216	0.21390538054871586	NOS2
KEGG_2019_Human	Fluid shear stress and atherosclerosis	1/139	0.7521209843695081	1.0	0	0	0.7230396587252811	0.20596369220387128	VCAM1
KEGG_2019_Human	Cell adhesion molecules (CAMs)	1/145	0.7666562952532885	1.0	0	0	0.6931207762952694	0.1841737610500795	VCAM1
KEGG_2019_Human	JAK-STAT signaling pathway	1/162	0.803394445723898	1.0	0	0	0.6203858800173707	0.1358083445274294	PTPN2
KEGG_2019_Human	Tuberculosis	1/179	0.8343728588272425	1.0	0	0	0.5614665506302462	0.10166750152796096	NOS2
KEGG_2019_Human	Human papillomavirus infection	2/330	0.8431043715175482	1.0	0	0	0.6091061367443277	0.1039528058563751	PSMC1;UBE3A
KEGG_2019_Human	Calcium signaling pathway	1/188	0.8487542027550682	1.0	0	0	0.5345878327809259	0.08766473239701288	NOS2
KEGG_2019_Human	Huntington disease	1/193	0.8561996665005212	1.0	0	0	0.5207384070612128	0.08084550981985304	SOD1
KEGG_2019_Human	PI3K-Akt signaling pathway	1/354	0.9718904023592726	1.0	0	0	0.2839054027198137	0.008094777745622558	PCK1
