interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
DHX15	ARRB2	O43143	P32121
CAD	HDAC6	P27708	Q9UBN7
RPL7	RPS13	P18124	P62277
MYC	HSP90AA1	P01106	P07900
TP53	GNL3	P04637	Q9BVP2
PARD6B	PARD6A	Q9BYG5	Q9NPB6
LTBR	BIRC2	P36941	Q13490
PSMC1	ADRM1	P62191	Q16186
CCNA2	CDK3	P20248	Q00526
SRF	ELK4	P11831	P28324
SNRNP200	SNRNP70	O75643	P08621
HNRNPH3	HNRNPD	P31942	Q14103
HNRNPK	RBM42	P61978	Q9BTD8
DDX5	HDAC1	P17844	Q13547
CUL3	COPS7A	Q13618	Q9UBW8
USP14	PSMD13	P54578	Q9UNM6
SNRPA1	SNRPE	P09661	P62304
RAF1	MAPK6	P04049	Q16659
EED	HDAC2	O75530	Q92769
GRB2	ARHGAP17	P62993	Q68EM7
NPM1	NCL	P06748	P19338
PSMD11	SMAD3	O00231	P84022
UBTF	CDK2	P17480	P24941
CDH1	ILK	P12830	Q13418
CHEK1	ATM	O14757	Q13315
STK39	STK39	Q9UEW8	Q9UEW8
NUTF2	RAN	P61970	P62826
CUL1	FBXW11	Q13616	Q9UKB1
SP1	HDAC4	P08047	P56524
YWHAE	ILF2	P62258	Q12905
GDI1	RAB1B	P31150	Q9H0U4
HDAC3	RELA	O15379	Q04206
SMURF1	MAP3K2	Q9HCE7	Q9Y2U5
FBL	RUVBL2	P22087	Q9Y230
SRSF2	SF3B3	Q01130	Q15393
U2AF2	SF3A2	P26368	Q15428
BUB1B	PLK1	O60566	P53350
DDB1	TRAF6	Q16531	Q9Y4K3
GRB2	BLNK	P62993	Q8WV28
HSPA5	LGALS3BP	P11021	Q08380
EWSR1	EWSR1	Q01844	Q01844
JUND	EP300	P17535	Q09472
BCL2	BID	P10415	P55957
CFL1	ACTB	P23528	P60709
PARP1	RELA	P09874	Q04206
NPM1	RPL10A	P06748	P62906
UBE2I	TP63	P63279	Q9H3D4
GTF2B	TAF9	Q00403	Q16594
MAVS	SMURF1	Q7Z434	Q9HCE7
EGFR	SFN	P00533	P31947
PPP2R2B	PPP2R2C	Q00005	Q9Y2T4
CTCF	SMAD3	P49711	P84022
JUN	SMAD2	P05412	Q15796
SLC9A3R1	PTEN	O14745	P60484
ESR1	DAP3	P03372	P51398
TOP1	CSNK2A1	P11387	P68400
TBP	PSMC2	P20226	P35998
SNRNP200	SNRPB2	O75643	P08579
DHX15	U2AF2	O43143	P26368
PSMA1	CUL1	P25786	Q13616
SART3	PRPF8	Q15020	Q6P2Q9
CUL3	CASP8	Q13618	Q14790
SNRPF	LSM7	P62306	Q9UK45
HNRNPA2B1	HNRNPH1	P22626	P31943
EIF4A3	EIF4A1	P38919	P60842
HDAC3	CHD3	O15379	Q12873
EP300	CREBBP	Q09472	Q92793
RAB11FIP3	RAB11A	O75154	P62491
EIF3H	EIF3C	O15372	Q99613
NTRK1	NEDD4L	P04629	Q96PU5
SYK	SYK	P43405	P43405
SMAD4	LEF1	Q13485	Q9UJU2
NUP62	KPNB1	P37198	Q14974
PABPC1	EIF4A2	P11940	Q14240
AIRE	DDX5	O43918	P17844
SYNCRIP	TP63	O60506	Q9H3D4
PARP1	PHB	P09874	P35232
RPS20	RPS16	P60866	P62249
HSPA8	CTNNB1	P11142	P35222
YWHAZ	NFATC2	P63104	Q13469
RXRA	TBP	P19793	P20226
CCT4	IKBKE	P50991	Q14164
CRYAB	TP53	P02511	P04637
PSMD14	PSMB3	O00487	P49720
NCOR1	VDR	O75376	P11473
PRKCI	MAP1LC3B	P41743	Q9GZQ8
FBXW7	PPARGC1A	Q969H0	Q9UBK2
MAPK8	PRKDC	P45983	P78527
TRAF2	PKN1	Q12933	Q16512
SMARCA4	HIF1A	P51532	Q16665
ARF1	AGAP2	P84077	Q99490
TRIM27	EPC1	P14373	Q9H2F5
FOXO3	YWHAZ	O43524	P63104
EXOSC2	UPF1	Q13868	Q92900
HNRNPA1	SF3B6	P09651	Q9Y3B4
BCL2	SQSTM1	P10415	Q13501
PSMD11	PSMA6	O00231	P60900
PPP2R1A	CDC20	P30153	Q12834
UBE2D3	TRAF6	P61077	Q9Y4K3
BCR	PTPN6	P11274	P29350
YWHAQ	EMD	P27348	P50402
PRPF3	PRPF6	O43395	O94906
STK4	MAP1LC3B	Q13043	Q9GZQ8
ACTL6A	HDAC2	O96019	Q92769
TBP	TAF6	P20226	P49848
CDK4	CCNE1	P11802	P24864
ESR1	FOXO1	P03372	Q12778
HSPB1	EIF5	P04792	P55010
CCNE1	RBL2	P24864	Q08999
JAK2	PTK2	O60674	Q05397
NR3C1	PTGES3	P04150	Q15185
FN1	LGALS3BP	P02751	Q08380
APP	CASP3	P05067	P42574
HSPA8	PPP1CA	P11142	P62136
GSK3B	PPP1CA	P49841	P62136
PHB	SIN3A	P35232	Q96ST3
TRAF3IP2	TRAF2	O43734	Q12933
HNRNPR	HNRNPC	O43390	P07910
MAPK1	IQGAP1	P28482	P46940
NR3C1	TBP	P04150	P20226
MDM2	DYRK2	Q00987	Q92630
PRPF4	PRPF3	O43172	O43395
PSMD14	PSMC4	O00487	P43686
SRF	HDAC4	P11831	P56524
SNRPA1	SF3A3	P09661	Q12874
HNRNPA3	NONO	P51991	Q15233
CBL	GRB2	P22681	P62993
GTF2E2	CDK7	P29084	P50613
EED	RBBP4	O75530	Q09028
SAFB	SRPK1	Q15424	Q96SB4
ATM	HDAC1	Q13315	Q13547
EFTUD2	PRPF19	Q15029	Q9UMS4
RDX	ARHGDIA	P35241	P52565
MTOR	PRKCD	P42345	Q05655
MET	CDH1	P08581	P12830
GSK3B	ILK	P49841	Q13418
HSPA8	CDC5L	P11142	Q99459
CCNB2	CDK1	O95067	P06493
HNRNPK	SUMO1	P61978	P63165
MCM2	EP300	P49736	Q09472
PSMD14	PSMC3	O00487	P17980
TP53	NPM1	P04637	P06748
ATN1	ITCH	P54259	Q96J02
BRCA1	HUWE1	P38398	Q7Z6Z7
APP	YWHAG	P05067	P61981
SRF	RXRG	P11831	P48443
ESR1	RBM39	P03372	Q14498
PPARG	HDAC4	P37231	P56524
TP73	PIAS1	O15350	O75925
SGTA	HSPA8	O43765	P11142
MAX	CSNK2A1	P61244	P68400
VCP	CUL3	P55072	Q13618
NCL	CDKN1A	P19338	P38936
SYNCRIP	HNRNPH1	O60506	P31943
PIAS1	SUMO1	O75925	P63165
CCND2	CDKN2A	P30279	P42771|Q8N726
ACACA	PRKAA1	Q13085	Q13131
MDM2	HNRNPD	Q00987	Q14103
FOS	JUNB	P01100	P17275
PAFAH1B1	TUBA1A	P43034	Q71U36
PSMD12	PSMC6	O00232	P62333
NR3C1	HDAC1	P04150	Q13547
TP53	HNF4A	P04637	P41235
CCT2	TUBB2B	P78371	Q9BVA1
LDHA	LDHA	P00338	P00338
HNRNPA2B1	YWHAE	P22626	P62258
DDX5	SF3A2	P17844	Q15428
AR	AKT1	P10275	P31749
TP53	PCNA	P04637	P12004
DVL2	DVL2	O14641	O14641
UBE2D2	SMURF1	P62837	Q9HCE7
URI1	RUVBL2	O94763	Q9Y230
TP63	BTRC	Q9H3D4	Q9Y297
FUS	SF3A2	P35637	Q15428
EGFR	EGFR	P00533	P00533
VAV1	NOTCH1	P15498	P46531
RAB11FIP3	RAB25	O75154	P57735
TRAF3	IRF3	Q13114	Q14653
HIF1A	RUVBL2	Q16665	Q9Y230
CDKN2A	CDK6	P42771|Q8N726	Q00534
SRSF6	SRPK1	Q13247	Q96SB4
YY1	SUZ12	P25490	Q15022
UQCRC2	CCT7	P22695	Q99832
RPS7	RPL19	P62081	P84098
PSMB1	PSMA6	P20618	P60900
SNRPA1	DDX5	P09661	P17844
TP53	CHD3	P04637	Q12873
TP53	CSNK2A2	P04637	P19784
HNRNPH1	CCT5	P31943	P48643
JUN	STAT3	P05412	P40763
XPO1	NUP153	O14980	P49790
KPNA1	RAN	P52294	P62826
UBE2D1	ITCH	P51668	Q96J02
URI1	HSP90AA1	O94763	P07900
RPS23	RPL8	P62266	P62917
TP53	SIN3A	P04637	Q96ST3
PSMD14	PSMB5	O00487	P28074
SAFB	MAP1LC3B	Q15424	Q9GZQ8
ADAP1	RANBP9	O75689	Q96S59
STAU1	EIF2AK2	O95793	P19525
CEBPB	EGR1	P17676	P18146
MYOG	TCF3	P15173	P15923
CCT4	UNK	P50991	Q9C0B0
SMARCA4	SMARCC1	P51532	Q92922
GSPT1	BIRC2	P15170	Q13490
RAB1A	UNK	P62820	Q9C0B0
KPNA6	UNK	O60684	Q9C0B0
TAF6	TAF10	P49848	Q12962
ESR1	AKT1	P03372	P31749
PPP4C	REL	P60510	Q04864
VCP	CUL1	P55072	Q13616
HSPD1	HSPA9	P10809	P38646
IKBKB	CSNK2B	O14920	P67870
HSPA4L	HSPA5	O95757	P11021
SYK	GRB2	P43405	P62993
U2AF2	HNRNPF	P26368	P52597
SNRPA1	SF3A1	P09661	Q15459
JAK2	IGF1R	O60674	P08069
LSM8	LSM4	O95777	Q9Y4Z0
NFKB2	REL	Q00653	Q04864
HNRNPD	SREK1	Q14103	Q8WXA9
PTK2	ELAVL1	Q05397	Q15717
FLNA	CYLD	P21333	Q9NQC7
NCL	ARRB1	P19338	P49407
BAK1	BCL2L2	Q16611	Q92843
BMI1	MAPKAPK3	P35226	Q16644
HSP90B1	IKBKG	P14625	Q9Y6K9
ACTB	ACTB	P60709	P60709
MAPK1	MCM2	P28482	P49736
TRIM13	MDM2	O60858	Q00987
PSMD9	PSMD14	O00233	O00487
SFN	HDAC4	P31947	P56524
TBP	TAF1	P20226	P21675
TP53	BCL2	P04637	P10415
PSMD11	DNAJA1	O00231	P31689
TP53	TRIM27	P04637	P14373
DDX3X	NPM1	O00571	P06748
PIN1	MAP3K11	Q13526	Q16584
RELA	USP7	Q04206	Q93009
ATN1	BAIAP2	P54259	Q9UQB8
PCNA	CCNB1	P12004	P14635
MAP2K7	MAP3K12	O14733	Q12852
ACTB	ACTG1	P60709	P63261
NOP2	RPL18	P46087	Q07020
ACTB	CAV1	P60709	Q03135
TP53	KAT5	P04637	Q92993
TP53	CDK1	P04637	P06493
STAT3	EP300	P40763	Q09472
MTOR	UBQLN1	P42345	Q9UMX0
UBE2D1	TRAF2	P51668	Q12933
RPS6KB1	STAT1	P23443	P42224
PIAS1	SP3	O75925	Q02447
HNRNPU	ILF2	Q00839	Q12905
NCOR1	THRB	O75376	P10828
CCNB1	SET	P14635	Q01105
SNRPB	SNRPG	P14678	P62308
NFKBIA	RELB	P25963	Q01201
MAPK3	ARRB2	P27361	P32121
SUMO1	IFI16	P63165	Q16666
MECOM	CTBP1	Q03112	Q13363
SRSF9	SREK1	Q13242	Q8WXA9
KPNA1	RELB	P52294	Q01201
RAF1	JAK1	P04049	P23458
TYK2	JAK3	P29597	P52333
RPS6KB1	TRAF4	P23443	Q9BUZ4
DDX5	SRPK1	P17844	Q96SB4
NR3C1	CREBBP	P04150	Q92793
ACTL6A	RUVBL2	O96019	Q9Y230
CCND1	STAT3	P24385	P40763
JUN	CDKN1A	P05412	P38936
IRAK1	IKBKG	P51617	Q9Y6K9
PAFAH1B1	CSNK2A1	P43034	P68400
CCT2	PPP2R2D	P78371	Q66LE6
NPM1	PML	P06748	P29590
SMARCA2	MECP2	P51531	P51608
ILF3	EZH2	Q12906	Q15910
HCLS1	GRB2	P14317	P62993
HNRNPH3	HNRNPA0	P31942	Q13151
HNRNPR	SF3A1	O43390	Q15459
CSNK1A1	E2F1	P48729	Q01094
HCFC1	TRIM28	P51610	Q13263
CHEK1	MAPK1	O14757	P28482
SKP1	CUL5	P63208	Q93034
RPL4	RPL23A	P36578	P62750
MAP3K1	ALK	Q13233	Q9UM73
SNRPB2	SF3B6	P08579	Q9Y3B4
TP53	TRIM28	P04637	Q13263
SQSTM1	IFI16	Q13501	Q16666
TP53	TRRAP	P04637	Q9Y4A5
USP14	PSMD2	P54578	Q13200
NOTCH1	SMAD3	P46531	P84022
COPS3	IKBKG	Q9UNS2	Q9Y6K9
RPS23	RPL18	P62266	Q07020
CTNNB1	PIK3CA	P35222	P42336
LSM8	EFTUD2	O95777	Q15029
PML	RBL2	P29590	Q08999
ESR1	IGF1R	P03372	P08069
EP300	DDX17	Q09472	Q92841
CHEK1	ATR	O14757	Q13535
RAB11B	MYO5B	Q15907	Q9ULV0
RPS13	HNRNPU	P62277	Q00839
PIK3R1	GRB2	P27986	P62993
JUN	VAV1	P05412	P15498
CSNK1D	SMAD3	P48730	P84022
DHX15	SRPK2	O43143	P78362
UBE2N	UBE2N	P61088	P61088
NFKB1	COPS5	P19838	Q92905
IKBKB	PRKCA	O14920	P17252
RAB1A	RAB11B	P62820	Q15907
SNRPA1	SNRPG	P09661	P62308
SNRPA	CDC5L	P09012	Q99459
ESR2	NCOR2	Q92731	Q9Y618
LSM8	SART3	O95777	Q15020
SP1	BRCA1	P08047	P38398
