interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC	database source
IFNG	IFNG	P01579	P01579	Biogrid
HLA-B	HLA-B	P01889	P01889	Biogrid
HLA-B	ADRB2	P01889	P07550	Biogrid
HLA-B	HLA-C	P01889	P10321	Biogrid
KIR3DL1	KIR3DL1	P43629	P43629	Biogrid
HLA-C	HLA-C	P10321	P10321	Biogrid
HLA-C	PTCH1	P10321	Q13635	Biogrid
HLA-C	ADRB2	P10321	P07550	Biogrid
IL10	IL10	P22301	P22301	Biogrid
CCL2	CCR3	P13500	P51677	Biogrid
CCL2	CCL2	P13500	P13500	Biogrid
CXCL12	CXCL12	P48061	P48061	Biogrid
MBL2	MBL2	P11226	P11226	Biogrid
IL2RA	IL2RA	P01589	P01589	Biogrid
CCL3	CCL3	P10147	P10147	Biogrid
CCL3L1	CCR3	P16619	P51677	Biogrid
TRIM5	PSMC5	Q9C035	P62195	Biogrid
TRIM5	TRIM5	Q9C035	Q9C035	Biogrid
APOA1	HP	P02647	P00738	Biogrid
APOA1	APOA1	P02647	P02647	Biogrid
SERPINA1	SERPINA1	P01009	P01009	Biogrid
SIRT1	SIRT1	Q96EB6	Q96EB6	Biogrid
SIRT1	PSME3	Q96EB6	P61289	Biogrid
SIRT1	HSP90AA1	Q96EB6	P07900	Biogrid
SIRT1	MDM2	Q96EB6	Q00987	Biogrid
CD209	CD209	Q9NNX6	Q9NNX6	Biogrid
HSPB1	HSP90AA1	P04792	P07900	Biogrid
HSPB1	GRPEL1	P04792	Q9HAV7	Biogrid
HSPB1	HSPB1	P04792	P04792	Biogrid
HSPB1	BAG3	P04792	O95817	Biogrid
HSPB1	IPO7	P04792	O95373	Biogrid
HSPB1	ARHGDIA	P04792	P52565	Biogrid
HSPB1	SF3A3	P04792	Q12874	Biogrid
HSPB1	HSPA9	P04792	P38646	Biogrid
HSPB1	PSMA6	P04792	P60900	Biogrid
CDC42	CDC42	P60953	P60953	Biogrid
CDC42	ARHGDIA	P60953	P52565	Biogrid
CDC42	BIRC2	P60953	Q13490	Biogrid
CCR3	CCL11	P51677	P51671	Biogrid
TLR3	BIRC3	O15455	Q13489	Biogrid
TLR3	BIRC2	O15455	Q13490	Biogrid
ILF2	ILF2	Q12905	Q12905	Biogrid
ILF2	BIRC2	Q12905	Q13490	Biogrid
ILF2	EIF4A1	Q12905	P60842	Biogrid
PPIB	MDM2	P23284	Q00987	Biogrid
PPIB	PSMA4	P23284	P25789	Biogrid
PPIB	EIF6	P23284	P56537	Biogrid
MDM2	CDKN1A	Q00987	P38936	Biogrid
MDM2	PSMC5	Q00987	P62195	Biogrid
MDM2	RANBP1	Q00987	P43487	Biogrid
MDM2	ADRB2	Q00987	P07550	Biogrid
MDM2	HSP90AA1	Q00987	P07900	Biogrid
MDM2	MDM2	Q00987	Q00987	Biogrid
MDM2	YY1	Q00987	P25490	Biogrid
MDM2	PSME3	Q00987	P61289	Biogrid
MDM2	EIF3B	Q00987	P55884	Biogrid
MDM2	IPO7	Q00987	O95373	Biogrid
MDM2	SFPQ	Q00987	P23246	Biogrid
MDM2	PSMC3	Q00987	P17980	Biogrid
MDM2	GADD45A	Q00987	P24522	Biogrid
HSPD1	HSPA9	P10809	P38646	Biogrid
HSPD1	BAX	P10809	Q07812	Biogrid
HSPD1	ADRB2	P10809	P07550	Biogrid
PTCH1	PTCH1	Q13635	Q13635	Biogrid
CDKN1A	PSME3	P38936	P61289	Biogrid
CDKN1A	CCT7	P38936	Q99832	Biogrid
CDKN1A	HSPA9	P38936	P38646	Biogrid
CDKN1A	PRPF8	P38936	Q6P2Q9	Biogrid
CDKN1A	PSMC5	P38936	P62195	Biogrid
CDKN1A	HSP90AA1	P38936	P07900	Biogrid
CDKN1A	COPS6	P38936	Q7L5N1	Biogrid
CDKN1A	GADD45A	P38936	P24522	Biogrid
YY1	YY1	P25490	P25490	Biogrid
YY1	BAX	P25490	Q07812	Biogrid
IPO7	KPNB1	O95373	Q14974	Biogrid
IPO7	RAN	O95373	P62826	Biogrid
HSP90AA1	HSPA9	P07900	P38646	Biogrid
HSP90AA1	COPS6	P07900	Q7L5N1	Biogrid
HSP90AA1	LYN	P07900	P07948	Biogrid
HSP90AA1	BAG3	P07900	O95817	Biogrid
HSP90AA1	PRPF8	P07900	Q6P2Q9	Biogrid
HSP90AA1	HSP90AA1	P07900	P07900	Biogrid
HSP90AA1	DNAJC7	P07900	Q99615	Biogrid
HSP90AA1	HSPH1	P07900	Q92598	Biogrid
SFPQ	SFPQ	P23246	P23246	Biogrid
SFPQ	ALYREF	P23246	Q86V81	Biogrid
SFPQ	U2AF1	P23246	Q01081	Biogrid
RAB11B	NUTF2	Q15907	P61970	Biogrid
SRSF1	SRSF1	Q07955	Q07955	Biogrid
SRSF1	HDGF	Q07955	P51858	Biogrid
SRSF1	ALYREF	Q07955	Q86V81	Biogrid
SRSF1	SRSF9	Q07955	Q13242	Biogrid
CCT3	CCT3	P49368	P49368	Biogrid
CCT3	PSMA6	P49368	P60900	Biogrid
CCT3	PSMA5	P49368	P28066	Biogrid
CCT3	CCT5	P49368	P48643	Biogrid
CCT3	DNAJC7	P49368	Q99615	Biogrid
SRSF9	SF3A3	Q13242	Q12874	Biogrid
EIF3B	EIF4A1	P55884	P60842	Biogrid
SNRPD3	PRPF8	P62318	Q6P2Q9	Biogrid
SNRPD3	SF3A3	P62318	Q12874	Biogrid
SRF	SRF	P11831	P11831	Biogrid
TAF9	TAF9	Q16594	Q16594	Biogrid
U2AF1	PRPF8	Q01081	Q6P2Q9	Biogrid
BAG3	CCT7	O95817	Q99832	Biogrid
BAG3	PSMC5	O95817	P62195	Biogrid
BAG3	BAX	O95817	Q07812	Biogrid
BAG3	PSMD8	O95817	P48556	Biogrid
BAG3	PSMC3	O95817	P17980	Biogrid
BAG3	BAG3	O95817	O95817	Biogrid
BAG3	PSMA6	O95817	P60900	Biogrid
BAG3	PSME1	O95817	Q06323	Biogrid
BAG3	PSMB4	O95817	P28070	Biogrid
BAG3	PSMA5	O95817	P28066	Biogrid
BAG3	PSMD3	O95817	O43242	Biogrid
BAG3	PSME3	O95817	P61289	Biogrid
BAG3	PSME2	O95817	Q9UL46	Biogrid
GRPEL1	HSPA9	Q9HAV7	P38646	Biogrid
GRPEL1	GRPEL1	Q9HAV7	Q9HAV7	Biogrid
GRPEL1	HSPH1	Q9HAV7	Q92598	Biogrid
PSME4	PSMD3	Q14997	O43242	Biogrid
PSME4	PSMB4	Q14997	P28070	Biogrid
PSME4	PSMA4	Q14997	P25789	Biogrid
PSME4	PSMA5	Q14997	P28066	Biogrid
CCT5	PSMA6	P48643	P60900	Biogrid
CCT5	CCT7	P48643	Q99832	Biogrid
COPS6	COPS6	Q7L5N1	Q7L5N1	Biogrid
COPS6	HSPA9	Q7L5N1	P38646	Biogrid
SF3A3	PSME3	Q12874	P61289	Biogrid
HSPH1	HSPH1	Q92598	Q92598	Biogrid
HSPH1	HSP90AB1	Q92598	P08238	Biogrid
HSPH1	HSPA9	Q92598	P38646	Biogrid
PRPF8	PRPF8	Q6P2Q9	Q6P2Q9	Biogrid
CLIC1	CLIC1	O00299	O00299	Biogrid
CLIC1	PSMA5	O00299	P28066	Biogrid
SIGMAR1	SIGMAR1	Q99720	Q99720	Biogrid
NUTF2	NUTF2	P61970	P61970	Biogrid
NUTF2	KPNB1	P61970	Q14974	Biogrid
NUTF2	RAN	P61970	P62826	Biogrid
PSME3	PSMA5	P61289	P28066	Biogrid
PSME3	PSMC5	P61289	P62195	Biogrid
PSME3	PSMB4	P61289	P28070	Biogrid
PSME3	PSMD8	P61289	P48556	Biogrid
PSME3	PSME3	P61289	P61289	Biogrid
PSME3	PSMA6	P61289	P60900	Biogrid
PSME3	PSMA4	P61289	P25789	Biogrid
PSME3	HDGF	P61289	P51858	Biogrid
ALYREF	HSPA9	Q86V81	P38646	Biogrid
ALYREF	ALYREF	Q86V81	Q86V81	Biogrid
PSMD6	PSMD8	Q15008	P48556	Biogrid
PSMD6	PSMC3	Q15008	P17980	Biogrid
PSMD6	PSMD13	Q15008	Q9UNM6	Biogrid
PSMD6	PSMD3	Q15008	O43242	Biogrid
PSMD6	PSMA6	Q15008	P60900	Biogrid
PSMD6	PSMA4	Q15008	P25789	Biogrid
PSMD6	PSME1	Q15008	Q06323	Biogrid
PSMD6	PSMC5	Q15008	P62195	Biogrid
PSMD6	PSMA5	Q15008	P28066	Biogrid
PSMD6	PSMB4	Q15008	P28070	Biogrid
PSMD6	PSME2	Q15008	Q9UL46	Biogrid
PSMD6	PSMB10	Q15008	P40306	Biogrid
CCL11	CCL11	P51671	P51671	Biogrid
LYN	LYN	P07948	P07948	Biogrid
EIF6	EIF6	P56537	P56537	Biogrid
EIF6	RAN	P56537	P62826	Biogrid
EIF6	HSPA9	P56537	P38646	Biogrid
IL4R	IL4R	P24394	P24394	Biogrid
HSPA9	ADRB2	P38646	P07550	Biogrid
