interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC	database source
IFNG	RP3-503F13.3	P01579	-	Biogrid
IFNG	GOPC	P01579	Q9HD26	Biogrid
IFNG	IFNGR2	P01579	P38484	Biogrid
IFNG	STAT6	P01579	P42226	Biogrid
IFNG	IFNG	P01579	P01579	Biogrid
CD28	PIK3CA	P10747	P42336	Biogrid
CD28	DUSP14	P10747	O95147	Biogrid
CD28	PIK3R1	P10747	P27986	Biogrid
CD28	CD80	P10747	P33681	Biogrid
CD28	DOK1	P10747	Q99704	Biogrid
CD28	PIK3R2	P10747	O00459	Biogrid
CD28	RP3-370M22.1	P10747	-	Biogrid
CD28	RP23-28I4.1	P10747	-	Biogrid
CD28	GRB2	P10747	P62993	Biogrid
CD28	VAV1	P10747	P15498	Biogrid
HLA-B	HLA-B	P01889	P01889	Biogrid
HLA-B	CDABP0067	P01889	-	Biogrid
HLA-B	TRIB3	P01889	Q96RU7	Biogrid
HLA-B	RP5-1103G7.7	P01889	-	Biogrid
HLA-B	LILRB2	P01889	Q8N423	Biogrid
HLA-B	XXbac-BCX105G6.12-005	P01889	-	Biogrid
HLA-B	LILRB1	P01889	Q8NHL6	Biogrid
HLA-B	XXbac-BCX85G21.4	P01889	-	Biogrid
HLA-B	ARHGEF4	P01889	Q9NR80	Biogrid
HLA-B	PCK1	P01889	P35558	Biogrid
HLA-B	MMS19	P01889	Q96T76	Biogrid
HLA-B	RP11-452K12.5	P01889	-	Biogrid
HLA-B	SIAE	P01889	Q9HAT2	Biogrid
HLA-B	EDEM1	P01889	Q92611	Biogrid
HLA-B	CXCR4	P01889	P61073	Biogrid
HLA-B	FAF2	P01889	Q96CS3	Biogrid
HLA-B	ERBB3	P01889	P21860	Biogrid
HLA-B	ADRB2	P01889	P07550	Biogrid
HLA-B	PI4KA	P01889	P42356	Biogrid
HLA-B	PTPRO	P01889	Q16827	Biogrid
HLA-B	ASIC4	P01889	Q96FT7	Biogrid
HLA-B	TCTN2	P01889	Q96GX1	Biogrid
HLA-B	HLA-G	P01889	P17693	Biogrid
HLA-B	DADB-15K14.8	P01889	-	Biogrid
HLA-B	ADAM21	P01889	Q9UKJ8	Biogrid
HLA-B	EGFR	P01889	P00533	Biogrid
