interactor A gene symbol	interactor B gene symbol	interactor A Uniprot AC	interactor B Uniprot AC
IFNG	RP3-503F13.3	P01579	-
IFNG	GOPC	P01579	Q9HD26
IFNG	IFNGR2	P01579	P38484
IFNG	STAT6	P01579	P42226
IFNG	IFNG	P01579	P01579
CD28	PIK3CA	P10747	P42336
CD28	DUSP14	P10747	O95147
CD28	PIK3R1	P10747	P27986
CD28	CD80	P10747	P33681
CD28	DOK1	P10747	Q99704
CD28	PIK3R2	P10747	O00459
CD28	RP3-370M22.1	P10747	-
CD28	RP23-28I4.1	P10747	-
CD28	GRB2	P10747	P62993
CD28	VAV1	P10747	P15498
HLA-B	HLA-B	P01889	P01889
HLA-B	CDABP0067	P01889	-
HLA-B	TRIB3	P01889	Q96RU7
HLA-B	RP5-1103G7.7	P01889	-
HLA-B	LILRB2	P01889	Q8N423
HLA-B	XXbac-BCX105G6.12-005	P01889	-
HLA-B	LILRB1	P01889	Q8NHL6
HLA-B	XXbac-BCX85G21.4	P01889	-
HLA-B	ARHGEF4	P01889	Q9NR80
HLA-B	PCK1	P01889	P35558
HLA-B	MMS19	P01889	Q96T76
HLA-B	RP11-452K12.5	P01889	-
HLA-B	SIAE	P01889	Q9HAT2
HLA-B	EDEM1	P01889	Q92611
HLA-B	CXCR4	P01889	P61073
HLA-B	FAF2	P01889	Q96CS3
HLA-B	ERBB3	P01889	P21860
HLA-B	ADRB2	P01889	P07550
HLA-B	PI4KA	P01889	P42356
HLA-B	PTPRO	P01889	Q16827
HLA-B	ASIC4	P01889	Q96FT7
HLA-B	TCTN2	P01889	Q96GX1
HLA-B	HLA-G	P01889	P17693
HLA-B	DADB-15K14.8	P01889	-
HLA-B	ADAM21	P01889	Q9UKJ8
HLA-B	EGFR	P01889	P00533
HLA-B	TMPRSS11B	P01889	Q86T26
HLA-B	TMEM30A	P01889	Q9NV96
HLA-B	SDHA	P01889	P31040
HLA-B	Tap1	P01889	-
HLA-B	Tap2	P01889	-
HLA-B	env	P01889	-
HLA-B	HIV1gp8	P01889	-
HLA-B	HLA-C	P01889	P10321
KIR3DL1	KIR3DL1	P43629	P43629
KIR3DL1	XXbac-BCX195L8.4	P43629	-
KIR3DL1	KIR2DS2	P43629	P43631
KIR3DL1	CU464060.1	P43629	-
KIR3DL1	env	P43629	-
KIR3DL1	HIV1gp8	P43629	-
HLA-C	HLA-C	P10321	P10321
HLA-C	XXbac-BCX101P6.2	P10321	-
HLA-C	UBC	P10321	P0CG48
HLA-C	LILRB2	P10321	Q8N423
HLA-C	XXbac-BCX105G6.12-005	P10321	-
HLA-C	LILRB1	P10321	Q8NHL6
HLA-C	XXbac-BCX85G21.4	P10321	-
HLA-C	PCK1	P10321	P35558
HLA-C	KIR2DL1	P10321	P43626
HLA-C	XXbac-BCX195L8.1	P10321	-
HLA-C	KIR2DS2	P10321	P43631
HLA-C	CU464060.1	P10321	-
HLA-C	KIR2DL3	P10321	P43628
HLA-C	CU464054.1	P10321	-
HLA-C	TAP2	P10321	Q03519
HLA-C	DAAP-57C1.2	P10321	-
HLA-C	KIR2DL2	P10321	P43627
HLA-C	CU464060.2	P10321	-
HLA-C	FBXO6	P10321	Q9NRD1
HLA-C	RP3-330O12.3	P10321	-
HLA-C	MMS19	P10321	Q96T76
HLA-C	RP11-452K12.5	P10321	-
HLA-C	TMEM30A	P10321	Q9NV96
HLA-C	CDABP0067	P10321	-
HLA-C	PTCH1	P10321	Q13635
HLA-C	RP11-435O5.3	P10321	-
HLA-C	CDC25A	P10321	P30304
HLA-C	BATF2	P10321	Q8N1L9
HLA-C	RNF139	P10321	Q8WU17
HLA-C	CUL7	P10321	Q14999
HLA-C	CCDC8	P10321	Q9H0W5
HLA-C	ATP1B3	P10321	P54709
HLA-C	HMOX1	P10321	P09601
HLA-C	CTA-286B10.6	P10321	-
HLA-C	FAF2	P10321	Q96CS3
HLA-C	TMEM63B	P10321	Q5T3F8
HLA-C	RP3-421H19.2	P10321	-
HLA-C	IFI16	P10321	Q16666
HLA-C	MAPK8IP2	P10321	Q13387
HLA-C	ADRB2	P10321	P07550
HLA-C	ST6GAL1	P10321	P15907
HLA-C	PTPRO	P10321	Q16827
HLA-C	ASIC4	P10321	Q96FT7
HLA-C	TMED6	P10321	Q8WW62
HLA-C	UNQ9146/PRO34237	P10321	-
HLA-C	MTM1	P10321	Q13496
HLA-C	PPM1E	P10321	Q8WY54
HLA-C	MTMR12	P10321	Q9C0I1
HLA-C	HLA-G	P10321	P17693
HLA-C	DADB-15K14.8	P10321	-
HLA-C	DNAJC1	P10321	Q96KC8
HLA-C	RP11-399C16.1	P10321	-
HLA-C	TMEM223	P10321	A0PJW6
HLA-C	CDH1	P10321	P12830
HLA-C	ADAM33	P10321	Q9BZ11
HLA-C	RP5-964F7.2	P10321	-
HLA-C	ST8SIA4	P10321	Q92187
HLA-C	HTR3A	P10321	P46098
HLA-C	LIPG	P10321	Q9Y5X9
HLA-C	UNQ387/PRO719	P10321	-
HLA-C	GABRA3	P10321	P34903
HLA-C	TSHB	P10321	P01222
HLA-C	env	P10321	-
HLA-C	HIV1gp8	P10321	-
HLA-C	Bmpr1a	P10321	-
HLA-C	Ptpn2	P10321	-
HLA-C	Rab5c	P10321	-
HLA-C	RP23-390D17.8	P10321	-
HLA-C	Tgfbr1	P10321	-
HLA-C	RP23-457P12.1	P10321	-
HLA-C	Calml3	P10321	-
HLA-C	Tuba3a	P10321	-
IL10	IL10	P22301	P22301
IL10	RP11-262N9.1	P22301	-
IL10	IL10RA	P22301	Q13651
IL10	A2M	P22301	P01023
IL2	IL2RG	P60568	P31785
IL2	IL17A	P60568	Q16552
CCL2	CTA-134P22.3	P13500	-
CCL2	VCAN	P13500	P13611
CCL2	RP1-108C2.3	P13500	-
CCL2	PCNA	P13500	P12004
CCL2	CDC6	P13500	Q99741
CCL2	ORC4	P13500	O43929
CCL2	MCM7	P13500	P33993
CCL2	ORC2	P13500	Q13416
CCL2	MCM2	P13500	P49736
CCL2	CCR3	P13500	P51677
CCL2	Ccr2	P13500	-
CCL2	CCL2	P13500	P13500
CCL2	CCL5	P13500	P13501
CXCL12	CXCL12	P48061	P48061
CXCL12	FN1	P48061	P02751
CXCL12	CXCR4	P48061	P61073
CXCL12	DAZAP2	P48061	Q15038
CXCL12	VCAN	P48061	P13611
CXCL12	PF4	P48061	P02776
MBL2	KRT1	P11226	P04264
MBL2	MBL2	P11226	P11226
MBL2	RP11-94H3.1	P11226	-
MBL2	TRAPPC2	P11226	P0DI81
IL2RA	IL2RA	P01589	P01589
IL2RA	RP11-536K7.1	P01589	-
IL2RA	ICAM1	P01589	P05362
IL2RA	SNTA1	P01589	Q13424
CCL3	CCL3	P10147	P10147
CCL3	CCR4	P10147	P51679
CCL3	CCL4	P10147	P13236
CCL3	ZFP36	P10147	P26651
CCL3	CCR5	P10147	P51681
CCL3L1	CCR5	P16619	P51681
CCL3L1	CCR1	P16619	P32246
CCL3L1	CCR3	P16619	P51677
CX3CR1	A-152E5.2	P49238	-
