Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	cytokine-mediated signaling pathway (GO:0019221)	36/633	2.601264025193325e-28	1.3274250320561538e-24	0	0	11.151379983272927	708.2953455635254	CDKN1A;CCL11;CCL3L1;PSMD13;PSMB10;PSMD8;CDC42;PSMD6;PSMB4;TRIM5;PSMD3;CCL3;CCL2;HSPA9;IL10;HSP90AA1;IL4R;HLA-B;HLA-C;SIRT1;IL2;PSMA5;FCER2;PSMA6;PSMC5;CXCL12;PSMA4;PSMC3;IFNG;PSME3;IL2RA;PSME4;PSME1;PSME2;BIRC2;BIRC3
GO_Biological_Process_2018	regulation of cellular ketone metabolic process (GO:0010565)	17/61	1.176902744372148e-25	3.002867352265536e-22	0	0	54.64480874316939	3136.7071655785344	PSMD13;ODC1;SIRT1;PSMB10;PSMD8;PSMA5;PSMA6;PSMD6;PSMB4;PSMC5;PSMA4;PSMC3;PSME3;PSMD3;PSME4;PSME1;PSME2
GO_Biological_Process_2018	NIK/NF-kappaB signaling (GO:0038061)	18/80	3.0873463430079476e-25	5.251576129456517e-22	0	0	44.11764705882353	2489.881561393337	PSMD13;PSMB10;PSMD8;PSMA5;PSMA6;PSMD6;PSMB4;PSMC5;PSMA4;PSMC3;PSME3;PSMD3;PSME4;PSME1;PSME2;TLR3;BIRC2;BIRC3
GO_Biological_Process_2018	regulation of cellular amine metabolic process (GO:0033238)	16/51	3.7858336494043253e-25	4.829777278227569e-22	0	0	61.51480199923106	3459.1840806692812	PSMD13;ODC1;PSMB10;PSMD8;PSMA5;PSMA6;PSMD6;PSMB4;PSMC5;PSMA4;PSMC3;PSME3;PSMD3;PSME4;PSME1;PSME2
GO_Biological_Process_2018	regulation of cellular amino acid metabolic process (GO:0006521)	16/51	3.7858336494043253e-25	3.8638218225820563e-22	0	0	61.51480199923106	3459.1840806692812	PSMD13;ODC1;PSMB10;PSMD8;PSMA5;PSMA6;PSMD6;PSMB4;PSMC5;PSMA4;PSMC3;PSME3;PSMD3;PSME4;PSME1;PSME2
GO_Biological_Process_2018	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	17/75	6.149614932248624e-24	5.2302474998774546e-21	0	0	44.444444444444436	2375.362345095174	PSMD13;HLA-B;HLA-C;PSMB10;PSMD8;PSMA5;PSMA6;PSMD6;PSMB4;PSMC5;PSMA4;PSMC3;PSME3;PSMD3;PSME4;PSME1;PSME2
GO_Biological_Process_2018	cellular response to tumor necrosis factor (GO:0071356)	22/194	9.242999680529142e-24	6.7381467671057445e-21	0	0	22.235698403072572	1179.3408800071113	CCL11;CCL3L1;PSMD13;SIRT1;PSMB10;PSMD8;PSMA5;PSMA6;PSMC5;PSMD6;PSMB4;PSMA4;PSMC3;PSME3;PSMD3;PSME4;PSME1;CCL3;PSME2;CCL2;BIRC2;BIRC3
GO_Biological_Process_2018	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	17/78	1.284323637474935e-23	8.192379402543242e-21	0	0	42.735042735042725	2252.5309791131353	PSMD13;HLA-B;HLA-C;PSMB10;PSMD8;PSMA5;PSMA6;PSMD6;PSMB4;PSMC5;PSMA4;PSMC3;PSME3;PSMD3;PSME4;PSME1;PSME2
GO_Biological_Process_2018	negative regulation of mitotic cell cycle phase transition (GO:1901991)	16/79	1.0159880583678089e-21	5.760652290945477e-19	0	0	39.7120873665922	1919.6197709550852	CDKN1A;PSMD13;PSMB10;PSMD8;PSMA5;PSMA6;PSMD6;PSMB4;PSMC5;PSMA4;PSMC3;PSME3;PSMD3;PSME4;PSME1;PSME2
GO_Biological_Process_2018	negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	15/62	1.073113869717987e-21	5.476100077170888e-19	0	0	47.43833017077799	2290.4991637618728	PSMD13;PSMB10;PSMD8;PSMA5;PSMA6;PSMD6;PSMB4;PSMC5;PSMA4;PSMC3;PSME3;PSMD3;PSME4;PSME1;PSME2
