Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2018	ficolin-1-rich granule lumen (GO:1904813)	10/123	7.063443931044685e-10	3.150295993245929e-07	0	0	15.941335883947072	335.89858422518023	PSMA5;PSMD6;HSP90AA1;SERPINA1;HSP90AB1;PSMC3;PSMD13;PSMD3;ILF2;KPNB1
GO_Cellular_Component_2018	ficolin-1-rich granule (GO:0101002)	11/184	2.5502936275572944e-09	5.687154789452768e-07	0	0	11.722080136402385	231.94547176020637	PSMA5;PSMD6;HSP90AA1;SERPINA1;HSP90AB1;PSMC3;PSMD13;SLC11A1;PSMD3;ILF2;KPNB1
GO_Cellular_Component_2018	cytoplasmic vesicle lumen (GO:0060205)	9/129	2.0138853366760828e-08	2.9939762005251093e-06	0	0	13.679890560875512	242.41607229010663	PSMA5;PSMD6;HSP90AA1;HSPH1;HSP90AB1;PSMC3;PSMD13;PSMD3;APOA1
GO_Cellular_Component_2018	secretory granule lumen (GO:0034774)	12/317	7.717381951179551e-08	8.604880875565201e-06	0	0	7.422527370569679	121.56025654426878	PSMA5;PSMD6;HSP90AA1;SERPINA1;HSP90AB1;PSMC3;PSMD13;PSMD3;ALB;APOA1;ILF2;KPNB1
GO_Cellular_Component_2018	chaperonin-containing T-complex (GO:0005832)	3/13	3.548953278292044e-05	0.0031656663242365032	0	0	45.248868778280546	463.6322514092942	CCT3;CCT7;CCT5
GO_Cellular_Component_2018	phagocytic vesicle (GO:0045335)	5/83	6.620982509862384e-05	0.004921596998997704	0	0	11.811953697141506	113.6626705722504	RAB32;SLC11A1;HLA-B;HLA-C;RAB11B
GO_Cellular_Component_2018	endocytic vesicle lumen (GO:0071682)	3/18	9.939649068130696e-05	0.006332976406266129	0	0	32.6797385620915	301.1893382333992	HSP90AA1;HSPH1;APOA1
GO_Cellular_Component_2018	endocytic vesicle (GO:0030139)	5/108	0.00022987860459359303	0.01281573220609281	0	0	9.077705156136528	76.0526433777648	RAB32;HSP90AA1;HSPH1;APOA1;RAB11B
GO_Cellular_Component_2018	P-body (GO:0000932)	4/68	0.0004042270975493276	0.02003169838966668	0	0	11.534025374855824	90.1214961394236	PSMA6;PSMA4;PSMC3;TRIM5
GO_Cellular_Component_2018	nuclear proteasome complex (GO:0031595)	2/8	0.0007068662099163871	0.03152623296227087	0	0	49.01960784313725	355.6210365834683	PSMC5;PSMC3
GO_Cellular_Component_2018	cytosolic proteasome complex (GO:0031597)	2/9	0.0009058066747473117	0.03672634335793645	0	0	43.57298474945533	305.30216374605044	PSMC5;PSMC3
GO_Cellular_Component_2018	phagocytic vesicle membrane (GO:0030670)	3/38	0.0009542923704410732	0.035467866434726554	0	0	15.47987616099071	107.65542516254057	SLC11A1;HLA-B;HLA-C
GO_Cellular_Component_2018	cytosolic part (GO:0044445)	5/159	0.001335938676921962	0.04583297306978424	0	0	6.165988407941793	40.80725801842802	CCT3;PSMC5;PSMC3;CCT7;CCT5
GO_Cellular_Component_2018	recycling endosome membrane (GO:0055038)	3/47	0.0017743717826491944	0.05652641536153862	0	0	12.515644555694616	79.2779579971107	HLA-B;HLA-C;RAB11B
GO_Cellular_Component_2018	cytoplasmic ribonucleoprotein granule (GO:0036464)	5/170	0.0017937002494046016	0.05333268741563015	0	0	5.767012687427912	36.467558329668655	CDC42;PSMA6;PSMA4;PSMC3;TRIM5
GO_Cellular_Component_2018	recycling endosome (GO:0055037)	4/119	0.003233412643838155	0.09013137744698856	0	0	6.590871642774756	37.79348922998604	HLA-B;HLA-C;RAN;RAB11B
GO_Cellular_Component_2018	MHC protein complex (GO:0042611)	2/18	0.0037362085914807524	0.09802053128237737	0	0	21.786492374727665	121.77960626005829	HLA-B;HLA-C
GO_Cellular_Component_2018	cytoplasmic vesicle (GO:0031410)	5/215	0.0049115819079340785	0.1216980850521444	0	0	4.559963520291837	24.24149205755969	CDC42;PSMC5;ARHGDIB;APOA1;HSPD1
GO_Cellular_Component_2018	early endosome (GO:0005769)	5/222	0.0056150283038760756	0.1318054012383542	0	0	4.416180886769122	22.8860124096577	RAB32;HLA-B;HLA-C;APOA1;HSPD1
GO_Cellular_Component_2018	U5 snRNP (GO:0005682)	2/23	0.006076595533856508	0.13550808040500012	0	0	17.05029838022165	87.01296990488062	SNRPD3;PRPF8
GO_Cellular_Component_2018	COPII-coated ER to Golgi transport vesicle (GO:0030134)	3/75	0.006666868431159868	0.14159158668082386	0	0	7.84313725490196	39.29886297945287	SERPINA1;HLA-B;HLA-C
GO_Cellular_Component_2018	nuclear periphery (GO:0034399)	3/78	0.007429090237255945	0.15060792026437053	0	0	7.541478129713424	36.970979428839286	PSMA6;SFPQ;KPNB1
GO_Cellular_Component_2018	nucleolus (GO:0005730)	9/676	0.007667382289520467	0.14868054352722296	0	0	2.610511660285416	12.715228021142973	EMG1;CDKN1A;EIF6;MDM2;ILF2;SIRT1;RAN;CCT5;SRSF9
GO_Cellular_Component_2018	integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	2/29	0.00955969890465967	0.1776510713115922	0	0	13.52265043948614	62.88301619666398	HLA-B;HLA-C
GO_Cellular_Component_2018	U2-type catalytic step 2 spliceosome (GO:0071007)	2/29	0.00955969890465967	0.1705450284591285	0	0	13.52265043948614	62.88301619666398	SNRPD3;PRPF8
GO_Cellular_Component_2018	spliceosomal tri-snRNP complex (GO:0097526)	2/31	0.01087681451319285	0.1865792028032312	0	0	12.650221378874129	57.19319246221065	SNRPD3;PRPF8
GO_Cellular_Component_2018	nuclear body (GO:0016604)	8/618	0.013742079702983244	0.22699879805668616	0	0	2.5382321213274954	10.882143898559434	SFPQ;CDKN1A;GADD45A;SRSF1;MDM2;U2AF1;SNRPD3;SIRT1
GO_Cellular_Component_2018	chromatin (GO:0000785)	5/296	0.01785490734617715	0.28440316701410745	0	0	3.3121356650768417	13.33292556699118	YY1;SFPQ;SRF;SIRT1;RAN
GO_Cellular_Component_2018	spliceosomal complex (GO:0005681)	3/114	0.020595239025753585	0.3167405726029689	0	0	5.159958720330237	20.03454770460541	SF3A3;U2AF1;SNRPD3
GO_Cellular_Component_2018	pre-snoRNP complex (GO:0070761)	1/6	0.030216035137483013	0.4492117223772473	0	0	32.6797385620915	114.35890623189331	TAF9
GO_Cellular_Component_2018	ER to Golgi transport vesicle membrane (GO:0012507)	2/54	0.03103510116204576	0.4465050038152391	0	0	7.262164124909222	25.218855624620485	HLA-B;HLA-C
GO_Cellular_Component_2018	cyclin-dependent protein kinase activating kinase holoenzyme complex (GO:0019907)	1/7	0.03516340208830281	0.4900899166057204	0	0	28.011204481792717	93.77449441612013	HSPD1
GO_Cellular_Component_2018	U7 snRNP (GO:0005683)	1/7	0.03516340208830281	0.4752387070116077	0	0	28.011204481792717	93.77449441612013	SNRPD3
GO_Cellular_Component_2018	nuclear matrix (GO:0016363)	2/59	0.036506112141143486	0.4788742945573528	0	0	6.6467264872050515	22.00249635421156	PSMA6;SFPQ
GO_Cellular_Component_2018	spliceosomal snRNP complex (GO:0097525)	2/59	0.036506112141143486	0.4651921718557142	0	0	6.6467264872050515	22.00249635421156	SNRPD3;PRPF8
GO_Cellular_Component_2018	U2-type spliceosomal complex (GO:0005684)	2/60	0.037641852242917065	0.4663407250094724	0	0	6.5359477124183005	21.4355474251402	SNRPD3;PRPF8
GO_Cellular_Component_2018	specific granule lumen (GO:0035580)	2/62	0.03995354133892511	0.4816021469502865	0	0	6.325110689437064	20.367096561796643	ILF2;KPNB1
GO_Cellular_Component_2018	spherical high-density lipoprotein particle (GO:0034366)	1/8	0.04008577742562173	0.4704804403112445	0	0	24.509803921568626	78.84151189333103	APOA1
GO_Cellular_Component_2018	commitment complex (GO:0000243)	1/8	0.04008577742562173	0.4584168392776229	0	0	24.509803921568626	78.84151189333103	SNRPD3
GO_Cellular_Component_2018	chromatin silencing complex (GO:0005677)	1/8	0.04008577742562173	0.4469564182956823	0	0	24.509803921568626	78.84151189333103	SIRT1
GO_Cellular_Component_2018	platelet alpha granule lumen (GO:0031093)	2/67	0.04595976003474842	0.4999525115975072	0	0	5.85308750365818	18.027445403519284	SERPINA1;ALB
GO_Cellular_Component_2018	endoplasmic reticulum lumen (GO:0005788)	4/270	0.04949960430922589	0.5256386552836845	0	0	2.9048656499636887	8.731417874197401	SERPINA1;ALB;APOA1;PPIB
GO_Cellular_Component_2018	coated vesicle (GO:0030135)	2/71	0.050987781403003925	0.5288500117613896	0	0	5.523336095001381	16.438383072604367	SERPINA1;HSPD1
GO_Cellular_Component_2018	early endosome membrane (GO:0031901)	2/73	0.053572751455100535	0.5430328897494282	0	0	5.372011818426	15.72234600345626	HLA-B;HLA-C
