Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2018	RNA binding (GO:0003723)	27/1387	8.889572965842417e-10	1.023189848368462e-06	0	0	3.816955765723737	79.54906792152346	EIF4A1;HSP90AB1;SRF;SRSF1;MAZ;HSPB1;U2AF1;PRPF8;HSPD1;YY1;EMG1;SNRPD3;HSPA9;CCT3;SF3A3;HSP90AA1;ALYREF;ILF2;PSMA6;SFPQ;HDGF;PPIB;RAN;TLR3;KPNB1;SRSF9;EIF3B
GO_Molecular_Function_2018	nucleoside-triphosphatase activity (GO:0017111)	13/424	2.460934414689176e-07	0.0001416267755653621	0	0	6.011838697743246	91.48548320706945	HSPA9;EIF4A1;HSP90AA1;RAB11B;HSPD1;RAB32;CDC42;PSMC5;PSMD6;HSPH1;PSMC3;ARHGDIB;RAN
GO_Molecular_Function_2018	peptidase activator activity (GO:0016504)	4/16	1.1069792663254541e-06	0.00042471104518019913	0	0	49.01960784313725	672.2488055892064	PSME3;PSME4;PSME1;PSME2
GO_Molecular_Function_2018	cytokine activity (GO:0005125)	8/155	1.285491383251652e-06	0.00036990014553066287	0	0	10.120177103099305	137.27382176643124	IL10;CXCL12;CCL11;IFNG;CCL3L1;CCL3;CCL2;IL2
GO_Molecular_Function_2018	chemokine activity (GO:0008009)	5/46	3.628724389044648e-06	0.0008353323543580781	0	0	21.312872975277067	266.9784607720044	CCL11;CXCL12;CCL3L1;CCL3;CCL2
GO_Molecular_Function_2018	chemokine receptor binding (GO:0042379)	5/49	4.987228968377426e-06	0.0009567167571004029	0	0	20.008003201280516	244.27031051230182	CCL11;CXCL12;CCL3L1;CCL3;CCL2
GO_Molecular_Function_2018	double-stranded RNA binding (GO:0003725)	5/59	1.2575811329913025e-05	0.0020678226915328414	0	0	16.616816218012627	187.49975614460573	EIF4A1;HSP90AB1;ILF2;TLR3;HSPD1
GO_Molecular_Function_2018	adenyl nucleotide binding (GO:0030554)	3/11	2.062724517477044e-05	0.002967744899520097	0	0	53.475935828877	576.9464050646765	HSPH1;GRPEL1;BAG3
GO_Molecular_Function_2018	adenyl-nucleotide exchange factor activity (GO:0000774)	3/11	2.062724517477044e-05	0.0026379954662400862	0	0	53.475935828877	576.9464050646765	HSPH1;GRPEL1;BAG3
GO_Molecular_Function_2018	cytokine receptor activity (GO:0004896)	5/73	3.565993361438109e-05	0.004104458359015264	0	0	13.430029546064999	137.54341669564883	CX3CR1;IL4R;CXCR1;IL2RA;CCR3
GO_Molecular_Function_2018	ATPase regulator activity (GO:0060590)	4/38	4.119085533521077e-05	0.0043100613173479635	0	0	20.639834881320947	208.40648677251443	HSPH1;GRPEL1;DNAJC7;BAG3
