Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Proteasome	16/45	3.495845614442416e-26	1.0767204492482641e-23	0	0	69.71677559912854	4086.4932198104134	PSMD13;PSMB10;PSMD8;PSMA5;PSMA6;PSMB4;PSMD6;PSMC5;PSMA4;PSMC3;IFNG;PSME3;PSMD3;PSME4;PSME1;PSME2
KEGG_2019_Human	Epstein-Barr virus infection	14/201	1.861566399415195e-12	2.8668122550994006e-10	0	0	13.657204175202418	368.87566057307237	LYN;CDKN1A;GADD45A;PSMD13;HLA-B;HLA-C;PSMD8;FCER2;PSMC5;PSMD6;PSMC3;PSMD3;MDM2;BAX
KEGG_2019_Human	Antigen processing and presentation	9/77	1.9718019130160403e-10	2.024383297363135e-08	0	0	22.918258212375857	512.1520961480777	HSP90AA1;HSP90AB1;IFNG;PSME3;HLA-B;PSME1;HLA-C;PSME2;KIR3DL1
KEGG_2019_Human	Cytokine-cytokine receptor interaction	13/294	3.33758574738737e-09	2.569941025488275e-07	0	0	8.670134720554888	169.2238465911944	IL10;CX3CR1;IL4R;CCL11;CCL3L1;IL2;CXCL12;IFNG;CXCR1;IL2RA;CCL3;CCL2;CCR3
KEGG_2019_Human	Human cytomegalovirus infection	11/225	2.0770538570140464e-08	1.2794651759206526e-06	0	0	9.586056644880172	169.57475639320296	CDKN1A;CXCL12;CCL3L1;HLA-B;MDM2;EIF4EBP1;CCL3;BAX;HLA-C;CCL2;CCR3
KEGG_2019_Human	Allograft rejection	6/38	3.6675860300028995e-08	1.8826941620681546e-06	0	0	30.95975232198142	530.0664723156547	IL10;IFNG;HLA-B;CD28;HLA-C;IL2
KEGG_2019_Human	Chemokine signaling pathway	10/190	4.7195906800444565e-08	2.076619899219561e-06	0	0	10.319917440660474	174.08626076826508	LYN;CDC42;CX3CR1;CXCL12;CCL11;CCL3L1;CXCR1;CCL3;CCL2;CCR3
KEGG_2019_Human	Graft-versus-host disease	6/41	5.90018738740236e-08	2.2715721441499093e-06	0	0	28.694404591104732	477.6383538871844	IFNG;HLA-B;CD28;HLA-C;KIR3DL1;IL2
KEGG_2019_Human	Pathways in cancer	15/530	7.673875761918942e-08	2.626170816301149e-06	0	0	5.549389567147614	90.91486649134384	HSP90AA1;CDKN1A;IL4R;HSP90AB1;GADD45A;PTCH1;IL2;CDC42;CXCL12;IFNG;IL2RA;MDM2;BAX;BIRC2;BIRC3
KEGG_2019_Human	Type I diabetes mellitus	6/43	7.934230886637807e-08	2.443743113084444e-06	0	0	27.359781121751023	447.3185860840328	IFNG;HLA-B;CD28;HLA-C;IL2;HSPD1
KEGG_2019_Human	Viral carcinogenesis	10/201	8.018450891192511e-08	2.245166249533903e-06	0	0	9.755145839430302	159.38869862884175	LYN;CDC42;RANBP1;CDKN1A;SRF;HLA-B;MDM2;BAX;HLA-C;CCR3
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	9/219	1.8212758104822967e-06	4.6746079135712295e-05	0	0	8.058017727639001	106.49454720134688	RANBP1;CDKN1A;IL2RA;SRF;HLA-B;BAX;HLA-C;RAN;IL2
KEGG_2019_Human	Spliceosome	7/134	5.632614895803261e-06	0.00013344964522364651	0	0	10.242903131401814	123.80532245080545	SF3A3;ALYREF;SRSF1;U2AF1;SNRPD3;PRPF8;SRSF9
