Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2018	nuclear body (GO:0016604)	282/618	1.3628866743526758e-22	6.078474567612933e-20	0	0	1.6569015236443374	83.42046347137342	RB1;MDC1;HNRNPU;TESK2;MKI67;SMC4;DCAF7;PNN;CHEK2;NAMPT;HABP4;TRIM25;MAGEA2;SNRPD3;PRKACA;DDX17;SRRM2;DAXX;SCAF11;SLC34A1;TINF2;ACTN4;GCAT;SRRM1;RUFY1;DDX39A;DDX39B;SARNP;KCTD13;CD2BP2;NUP98;KIF20B;CBLL1;TP53;TELO2;DHX8;AIRE;DHX9;ZBTB1;BAZ2A;GATA4;AKAP17A;LPAR4;HIF1A;OSGEP;TERT;PCBP1;TP53BP1;RBM10;BANP;ATP6V0A1;RBM11;TOE1;BARD1;CDT1;CREBBP;ACD;SURF2;GADD45A;EAF1;TRIP4;NFATC1;PTK6;INO80;FLI1;ZWINT;HNRNPM;FIBP;SNW1;AGO4;SPRTN;FBXL3;CDK13;SIM2;RAD18;ATR;DAZAP2;CDKN1A;PHF7;PRPF19;BMI1;COIL;ZMYM2;MECOM;UIMC1;DHX15;UBXN7;IKBKE;NELFE;RMI1;PRPF40A;TERF1;TERF2;SIRT1;TOPORS;GNL3;NCOR2;SLTM;MAPT;SGK1;SLU7;PRKN;SF3B2;C11ORF54;PCNA;SATB1;NR1I2;CENPB;BCLAF1;WRN;HSF1;SF3B1;SRSF10;SRSF11;SUZ12;SF3A1;CSNK1A1;WDR19;RPA1;RPA2;HIPK3;TARBP2;HIPK2;HINFP;SKI;NUDT21;PHF5A;NMNAT1;WT1;APEX1;HNRNPA2B1;TRIP11;FAS;PKN2;TRIP12;PRPF31;HSPA1A;DCLRE1B;MRE11;ICE2;GTF2B;GEMIN2;RORC;CWC25;PARK7;NR3C1;EFTUD2;FBL;BASP1;NUDT19;CIR1;USP7;IK;ADPRHL2;DYRK1A;THOC1;PRPF4B;CDC25C;THOC7;PIAS1;THOC6;PRPF4;MAU2;PRPF6;FANCD2;PRPF3;SRSF2;SRSF3;GEMIN5;SRSF4;PPIH;WDFY3;GEMIN6;SRSF5;SREK1;GEMIN7;SRSF6;SNRPC;RAF1;SQSTM1;BLM;RBM8A;YTHDC1;DDX1;FOXO4;STK4;GTF2E2;TAF5L;STK35;GRK5;TBXA2R;ABL1;DVL2;SAFB2;ZC3H18;SMN1;MAGEA11;ZC3H14;KLHDC2;YARS;CPSF6;UBE2I;CBX5;CBX4;SMURF2;API5;ZBTB16;NONO;CWC15;CLK2;COPS4;CDK9;NR4A2;H1F0;CNOT7;CDK2;MDM2;TCF3;TAB1;WRAP53;CIITA;RBM25;THRB;DDX46;DDX42;ARRB1;DUSP11;SART1;SART3;SUMO1;SUMO2;BCAS2;UNC45A;RBM14;RBM15;H2AFX;PLRG1;SENP2;SFPQ;ELF2;THRAP3;MYOD1;CRY2;NDUFS3;LUC7L3;SNRPA1;HDAC5;PRKAA1;PLEKHH2;PRKAA2;SRSF1;WBP4;POMP;CXXC1;U2AF1;RNF2;ADD1;NXF1;MAPK7;IFI16;U2AF2;SH3BP5;SAP18;SNRPB2;RBM39;NOP58;TRIM41;EYA1;USP22;LIMK1;CDC5L;MTOR;PML;CHFR;SNRNP40;RAD51;MYO1C;POLE2;DRG1;ACIN1;EIF3E;S100P
GO_Cellular_Component_2018	focal adhesion (GO:0005925)	184/356	2.3603854746999543e-22	5.2636596085808984e-20	0	0	1.8767390435158668	93.45793928985346	RPL4;SCARB2;RPL5;MDC1;TES;RPL3;RPL31;CD81;RPL8;RPL10A;RPL9;ACTB;RPL6;RPL7;ICAM1;ACTG1;RPS15;RPS14;PPP1CC;RPS16;MPRIP;CHORDC1;BSG;CFL1;PPFIA1;CPNE3;RPL38;RPS11;B2M;TNS3;RPS13;NUP214;PDGFRB;PDIA3;TPM4;RPS7;ACTN2;RPS8;RPL23;ACTN1;RPS5;ACTN4;PROCR;ARMC5;EZR;PPIB;PPIA;EPHA2;IQGAP1;SLC9A1;HSP90B1;CORO1C;SLC9A3R2;DPP4;CNN1;NCSTN;PRKAR2A;PCBP2;G3BP1;CD99;VASP;HSPA9;HSPA8;YES1;JUP;HSPA5;CAV3;MCAM;CAV1;RDX;HMGA1;MSN;PARVA;ARPC5;PTK2;PPFIBP1;DAB2;HNRNPK;PTPRC;FES;TRPV4;GNB2;PI4KA;TADA1;HYOU1;CSPG4;CALR;FGFR3;FERMT2;YWHAE;ITGB1;ARF1;ITGB5;YWHAB;TGFB1I1;RPLP1;USP33;ITGB3;CLTC;RPLP0;GDI2;FHL2;ILK;HSPB1;AKAP12;RPS4X;RPL7A;LASP1;CSRP1;YWHAQ;RAC2;RPLP2;RAC1;JAK2;GIT1;YWHAG;JAK1;CAP1;ACTR3;ACTR2;PDCD6IP;MME;ITGA4;ITGA2;ANXA5;RHOG;PLAUR;RPL13A;RPS3A;YWHAZ;RHOA;RHOB;DNM2;SENP1;RPL37A;IRF2;NUMB;CDC42EP1;MYH9;EVL;PABPC1;ARHGEF7;ATP6V0C;ARF6;PLEC;RALA;AHNAK;LRP1;SYNPO2;NEXN;EGFR;ADD1;PDLIM1;CDC42;LIMA1;GNA12;CTNNA1;RPS3;FLNA;PTK2B;MAPK1;FLNB;FLNC;RPS2;RPL18;MISP;PDLIM7;RPL19;PAK4;CLASP2;MAPK3;NPM1;GSN;SRP68;SORBS3;MARCKS;ZYX;CTNNB1;KRAS;VIM;P4HB;BCAR1;HSPA1A;SNTB2
GO_Cellular_Component_2018	nuclear chromosome part (GO:0044454)	193/392	2.9631710930156177e-20	4.405247691616551e-18	0	0	1.787752137892194	80.38706479822129	SMARCB1;TRRAP;CCAR2;ACTB;KAT5;MYC;RCC1;JUNB;NFRKB;TP63;WDHD1;SMARCC1;SMARCC2;TINF2;WDR82;TP53;TELO2;PRKDC;DHX9;GATA3;HIST1H3A;TERT;RAD21;GAR1;CREBBP;ACD;JUN;XRCC6;JUND;XRCC5;PLK1;XRCC3;SMARCA5;XRCC1;NFATC1;INO80;SMARCA2;SMARCA4;HIST1H4A;HNRNPK;SNAI2;ATM;HNRNPC;EZH2;ATR;FEN1;NAT10;BRCA1;BRCA2;GABPA;NCOA1;UPF1;DFFA;PARP1;NCOA3;ACTL6A;PAX6;TERF1;TERF2;SIRT1;UCHL5;NCOR2;DDB1;TOX4;NCOR1;RARA;POT1;PPARD;PCNA;PRIM1;MIS12;CENPA;RELA;RXRA;SLX4;STAT1;MCRS1;PCGF2;STAT3;GINS4;RPA1;NR1H3;RPA2;MLH1;PPP1CA;APEX1;NCAPD2;MPHOSPH8;DCLRE1B;DCLRE1A;MRE11;KDM1A;BUB1B;IPO4;YY1;PPP1CC;RUVBL2;RUVBL1;SMARCAD1;HIST1H2AG;USP3;THOC1;LIG4;THOC3;THOC2;THOC5;THOC7;THOC6;BRMS1;MSH2;INO80C;INO80B;BLM;INO80E;MAX;SYCE3;ORC4;CCNB1;ORC6;ORC2;NLRP2;BPTF;SMAD2;CBX8;CBX7;SMAD4;CPSF6;SMAD3;CBX5;UBE2B;PHF12;ALYREF;CBX1;UBE2A;ESR1;CDK9;H1F0;FER;SP1;CDK1;TCF4;TCF3;MXD1;MCM7;PINX1;CDC73;HIST1H1A;POLE;HIST1H1B;TBP;H2AFY;ACTR5;BUD31;H2AFX;ACTR8;MYOD1;IRF1;MCM4;MCM5;MCM6;MCM2;SMARCD2;HDAC2;HDAC1;UHRF1;WBP2;SRF;AURKC;AURKB;AURKA;TFPT;MUC1;RBBP4;POLR2B;POLD1;NRIP1;POLD2;E2F1;MTA2;BUB1;SMARCE1;LRWD1;YY1AP1;KLF2;PML;RAD50;RAD51;ERCC4;POLE2;HIST3H3;TAF5;TAF4;TAF1
GO_Cellular_Component_2018	RNA polymerase II transcription factor complex (GO:0090575)	92/147	6.105176194926114e-19	6.807271457342617e-17	0	0	2.272513943849145	95.30918889794012	RB1;RARG;THRB;TRRAP;GTF2B;RORC;HNRNPU;RORA;RORB;TAF7L;ING2;TRIM28;JUNB;TEAD1;TEAD2;TLE3;TBP;FOS;MED4;GTF2F1;SUPT3H;TAF6L;KAT2A;SFPQ;CREB1;NR5A2;DDIT3;RARA;RARB;PPARG;PPARA;TP53;ATF4;PPARD;YAP1;GTF2A1;CEBPA;CEBPB;MAX;NR1I3;LEF1;NR1I2;TAF9;GATA4;TAF1L;HIF1A;GTF2E2;TAF5L;RXRA;E2F1;E2F2;NKX2-5;TAF9B;E2F6;SMAD2;WWOX;SMAD4;JUN;JUND;TAF12;NFYA;VDR;TAF13;NFYB;NONO;NR1H2;TAF10;STAT3;TAF11;HMGA1;NR1H4;NR1H3;NR1D2;HNRNPAB;PBX1;HIPK2;CDK7;ERCC3;TADA3;TAF8;TAF4B;TAF7;CTNNB1;TCF4;MMS19;TAF6;TCF3;TAF5;MNAT1;TAF4;TAF2;TAF1
GO_Cellular_Component_2018	spliceosomal snRNP complex (GO:0097525)	48/59	1.0241006892109652e-17	9.13497814776181e-16	0	0	2.954100660980023	115.56480700065106	SF3B2;SF3B6;DDX23;SNU13;WDR62;HTATSF1;DCAF4;PRPF8;SART3;SNRPD2;SNRPD1;SNRNP70;LUC7L;CCDC97;SNRPB2;SNRPD3;SF3B1;SF3A1;SNRPN;SF3A2;RBPMS;PRPF40B;PRPF40A;LSM5;LSM4;LSM3;LSM2;PRPF4;LSM8;SNRNP40;LSM7;PRPF6;PHF5A;LSM6;DDX39B;SNRPG;CD2BP2;LUC7L3;PPIH;SNRPE;SNRPA1;PRPF31;SNRPF;SNRPC;SNRNP200;SNRPA;LUC7L2;SNRPB
GO_Cellular_Component_2018	cytosolic part (GO:0044445)	94/159	5.906597040698911e-17	4.3905704669195224e-15	0	0	2.1466774457278834	80.2167781327158	RPL4;RPL5;RPLP0P6;RPL3;DDX3X;RPL31;RPL34;RPLP1;RPLP0;AHR;RPL8;RPL10A;RPL9;RPL6;CCT6B;RPL7;PYCARD;RPS15;IKBKB;RPS4X;RPS14;FYCO1;RPL7A;RPS16;RPL18A;RPL36;RACK1;RPLP2;RPL38;RPL37;IKBKG;RPS11;MAP3K7;RPS13;CCT3;CCT2;RPS7;CHUK;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;HBA1;MRPS9;TCP1;RPL37A;RPL24;GEMIN5;RPL26;RPL29;RPL11;RPS27L;SNU13;PRDX3;FXR2;RPS15A;RPL14;RPS3;APOD;RPS2;ZNF622;CCT8;RPL18;RPS27A;CCT7;RPL17;CCT5;RPL19;CCT4;MCTS1;COA1;NAA10;RPL23A;EIF2AK4;CCT6A;RPS25;RPS28;PSMC5;PFKL;PSMC6;PSMC3;PSMC4;PSMC1;PSMC2;RPS20;RPL22L1;PFKM;RPS24;RPL26L1;EIF4G1;RPS23
GO_Cellular_Component_2018	spliceosomal complex (GO:0005681)	74/114	8.594356081003096e-17	5.4758325887534026e-15	0	0	2.3570181808915898	87.1927984762823	ISY1;RBM25;WDR83;HNRNPR;YBX1;DCAF4;CCAR2;EFTUD2;SNRPD2;SNRPD1;SNRNP70;DHX15;SNRPD3;BCAS2;UPF1;SNRPN;BUD31;PLRG1;WBP11;CRNKL1;CDC40;PRPF4;DDX39A;PRPF6;DDX39B;PRPF3;SNRPG;PPIH;SNRPE;SNRPA1;SNRPF;HNRNPH3;SNRPC;SNRNP200;SLU7;SNRPA;SNRPB;SF1;SF3B4;SF3B2;SF3B3;DHX8;SF3B6;SNU13;U2AF1;WDR62;HTATSF1;RNF113A;U2AF2;TRA2B;ZMAT5;DHX38;SNRPB2;HNRNPA1;SF3B1;IVNS1ABP;SF3A3;ZRSR2;SF3A1;SF3A2;GPKOW;API5;CWC15;LSM3;LSM2;HNRNPM;LSM8;LSM7;SNRNP40;SNW1;PHF5A;HNRNPA2B1;PRPF31;HNRNPC
GO_Cellular_Component_2018	U2-type spliceosomal complex (GO:0005684)	45/60	2.7470507552723467e-14	1.5314807960643333e-12	0	0	2.723311546840959	85.03720974497608	SF3B2;DHX8;SF3B6;SNU13;PRPF19;HTATSF1;PRPF8;EFTUD2;RNF113A;SNRPD2;SNRPD1;SNRNP70;U2AF2;DHX15;LUC7L;SNRPB2;SNRPD3;SF3B1;BCAS2;SRRM2;AQR;SF3A1;SNRPN;SF3A2;BUD31;PRPF40B;CDC5L;PRPF40A;PLRG1;CWC15;CRNKL1;CDC40;GCFC2;SNRNP40;LSM7;SNW1;SNRPG;LUC7L3;SNRPE;SNRPA1;PRPF31;SNRPF;SNRPC;LUC7L2;SNRPB
GO_Cellular_Component_2018	chromosome, telomeric region (GO:0000781)	74/124	5.976051800448349e-14	2.9614656699999604e-12	0	0	2.166936069529365	65.97980379762004	DCLRE1B;DCLRE1A;FEN1;MRE11;KDM1A;MCM7;PINX1;NAT10;BRCA2;CDC73;PPP1CC;CHEK2;CHEK1;UPF1;PARP1;H2AFY;TINF2;H2AFX;THOC1;LIG4;THOC3;THOC2;THOC5;TERF1;TERF2;THOC7;THOC6;TOX4;DDB1;MSH2;WDR82;MCM4;POT1;MCM5;MCM6;TELO2;MCM2;BLM;PCNA;PRKDC;RNF8;ORC4;WRN;SLX4;TERT;POLR2B;POLD1;ORC2;NLRP2;GAR1;TP53BP1;XRCC6;ACD;CBX5;XRCC5;ALYREF;PTGES3;XRCC3;CBX1;RPA1;RPA2;LRWD1;PML;PPP1CA;HIST1H4A;RAD50;RAD51;ERCC4;APEX1;HIST3H3;HNRNPA2B1;CDK1;ATM;ATR
GO_Cellular_Component_2018	cullin-RING ubiquitin ligase complex (GO:0031461)	97/181	1.0694432244133205e-13	4.769716780883408e-12	0	0	1.9459390058458412	58.11832513929939	KLHL36;KLHL38;PDCD6;FBXO27;CCNF;FBXO25;BUB1B;KEAP1;KLHL33;DCAF8;DCAF5;DCAF4;DCAF7;CDC20;DCAF1;CDC27;FBXO4;FBXO6;BTRC;SKP2;FBXO7;TRIM21;SKP1;FBXO9;FBXW4;FBXW8;ANAPC7;FBXW7;FBXW11;FBXO2;FBXO17;KCTD5;RBX1;KLHL42;KCTD13;ANAPC4;CUL7;CUL5;KLHL14;KLHL15;CUL3;CUL2;CUL1;KLHL10;KLHL12;KLHL13;BTBD1;BTBD2;KLHL29;KLHL25;KLHL26;UBE2C;GLMN;KLHL22;KLHL23;KLHL24;FBXO32;FBXO31;UBE2S;KLHDC8A;FBXL3;FBXL2;FBXL5;DET1;TNFAIP1;CKS1B;DDA1;ENC1;ARIH2;ELOB;USP47;ZYG11B;COMMD1;PLRG1;DDB2;DDB1;GAN;DTL;DCAF12L2;DCAF16;FZR1;DCAF17;CAND1;DCAF10;DCAF11;DCAF12;DCAF13;FBXL19;MAD2L2;CUL4A;SPSB3;KBTBD4;KLHL8;ERCC8;ASB4;KBTBD7;CUL4B
