Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Spliceosome	108/134	1.6400446668399932e-37	5.051337573867179e-35	0	0	2.92654375182909	247.8809627258895	TCERG1;EIF4A3;HNRNPU;EFTUD2;SNRPD2;SNRPD1;MAGOH;SNRPD3;ISY1-RAB43;AQR;THOC1;THOC3;THOC2;WBP11;CRNKL1;CDC40;PRPF4;PRPF6;DDX39B;PRPF3;SNRPG;SRSF2;SRSF3;SRSF4;PPIH;SNRPE;SNRPF;SRSF5;SRSF6;SNRPC;SNRNP200;SRSF7;SNRPA;SNRPB;SRSF9;DDX5;DHX8;RBM8A;SNU13;PRPF8;ZMAT2;PCBP1;DHX38;HSPA8;CCDC12;ALYREF;HSPA6;CWC15;HSPA2;LSM5;LSM4;LSM3;CHERP;LSM2;HNRNPM;LSM8;LSM7;HNRNPK;LSM6;SNW1;HNRNPC;HNRNPA1L2;ISY1;RBM25;DDX46;DDX42;PRPF19;SART1;SNRNP70;DHX15;BCAS2;RBM17;NCBP1;NCBP2;BUD31;PRPF40B;PRPF40A;PLRG1;SNRPA1;RP9;SLU7;SF3B4;SF3B2;SF3B3;SF3B6;SRSF1;DDX23;U2AF1;U2AF1L4;PUF60;U2AF2;TRA2B;SNRPB2;HNRNPA1;SF3B1;SRSF10;SMNDC1;SF3A3;SF3A1;HNRNPA3;SF3A2;HSPA1L;CDC5L;SNRNP40;PHF5A;ACIN1;PRPF31;HSPA1A
KEGG_2019_Human	Epstein-Barr virus infection	142/201	3.2285909700355955e-37	4.972030093854818e-35	0	0	2.5652420540724123	215.54087900347758	RB1;RBPJ;TNF;ICAM1;PSMD8;PSMD6;CCND3;PSMD7;TBK1;CCND2;PSMD4;CCND1;MYC;AKT2;PSMD2;AKT3;PSMD3;AKT1;PSMD1;CIR1;SKP2;B2M;MAP3K7;PDIA3;IFNAR2;USP7;HLA-B;TAP2;HLA-C;TAP1;HLA-A;HLA-F;HLA-G;HLA-E;SAP30;CCNE2;CCNE1;BTK;TP53;PSMD12;PSMD11;PSMD14;PSMD13;PIK3R3;PIK3R2;PIK3R1;BCL2L11;IRAK1;CD19;PLCG2;RIPK1;FADD;MAP2K7;MAP2K6;LYN;JUN;GADD45B;GADD45A;EIF2AK2;ISG15;NFKB1;GADD45G;NFKB2;SEM1;NFKBIA;MAVS;SNW1;CDK6;CDK4;CDK2;MDM2;BCL2;CYCS;TAB2;CALR;TAB1;HLA-DRB3;NFKBIE;MAP3K14;MYD88;NFKBIB;CD40;CDKN1A;CDKN1B;TRADD;TNFAIP3;IKBKB;CASP9;CASP8;SIN3A;CASP3;BLNK;RAC1;IKBKG;JAK3;IKBKE;JAK1;CR2;SYK;APAF1;CHUK;TRAF2;TYK2;DDB2;TAPBP;NCOR2;CCNA2;FCER2;CCNA1;PIK3CA;IRF3;TRAF3;TRAF6;OAS3;TRAF5;TLR2;HDAC2;HDAC1;RELA;RELB;MAPK8;E2F1;E2F2;HES1;BAK1;BID;STAT1;STAT2;STAT3;ADRM1;MAPK13;MAPK11;PSMC5;PSMC6;PSMC3;PSMC4;PSMC1;NEDD4;PSMC2;FAS;BAX;VIM
KEGG_2019_Human	Pathways in cancer	280/530	1.262365076845015e-35	1.2960281455608818e-33	0	0	1.9183075046930025	154.15037851964942	RB1;ARAF;KEAP1;CALML3;FZD10;ELK1;CRKL;RASSF1;RPS6KA5;TFG;MYC;AKT2;RASSF5;AKT3;AKT1;PRKACA;SKP2;SKP1;PRKCG;PRKCB;DAPK1;DAPK3;PRKCA;RUNX1;BCR;AR;ADCY9;AGTR1;TP53;CTBP2;CTBP1;EPAS1;PIK3R3;KLK3;PIK3R2;PIK3R1;LPAR4;HIF1A;TERT;PLCG2;HMOX1;PLCG1;FADD;RALGDS;GSTM4;STAT5B;CREBBP;JUN;JUP;GADD45B;GADD45A;FN1;BRAF;PTK2;GADD45G;LPAR6;CALM3;GRB2;CALM1;CALM2;RET;CDKN1A;CDKN1B;GLI1;BRCA2;BBC3;GLI2;IKBKB;SHH;MECOM;HEY2;RAC2;RAC3;ELOB;IKBKG;RAC1;JAK2;JAK3;JAK1;NCOA1;EDN1;IFNGR1;IFNGR2;NCOA3;IL13;FOS;F2;RHOA;DDB2;KIT;RARA;RARB;PPARG;ARHGEF1;PPARD;PTGER1;ADCY3;XIAP;CXCR4;PTGS2;EGFR;GNAI1;RELA;GNAI2;NRAS;RXRA;STAT4;CTNNA1;STAT6;BID;IL12RB1;RXRG;RUNX1T1;EGLN1;NQO1;EGLN3;CDKN2B;STAT1;CDKN2A;STAT2;STAT3;VEGFB;MLH1;CTNNB1;FAS;CSF3R;FGF1;IGF1R;CCND3;CCND2;CCND1;CDH1;PIM1;EP300;PIM2;IL6R;IL13RA1;IFNAR2;PDGFRB;RALBP1;IL4R;TPM3;MITF;RBX1;MSH6;MSH2;SMO;CCNE2;CCNE1;RAF1;CSF1R;NOTCH1;MAX;CUL2;CUL1;CSF2RB;PLD1;STK4;CSF2RA;FOXO1;KNG1;HSP90B1;BCL2L11;TPR;ABL1;DVL2;PMAIP1;SMAD2;SMAD4;SMAD3;ZBTB16;PTCH1;ESR1;NFKB1;ESR2;IL2;NFKB2;IL4;NFKBIA;CXCL12;CDK6;SP1;CDK4;GNB2;CDK2;GNB1;MDM2;BCL2;CYCS;GNB5;IL7R;FGFR3;FGFR2;BCL2L1;NFE2L2;FGFR1;FGF10;ALK;ITGB1;GSK3B;HSP90AB1;CXCL8;FLT4;PTEN;SLC2A1;FASLG;LAMC2;CKS1B;CASP9;CASP7;CASP8;CASP3;BDKRB2;NKX3-1;ARHGEF11;HSP90AA1;APAF1;CHUK;MMP1;DCC;ITGA2;MMP2;TRAF2;TRAF1;TGFBR1;TGFBR2;CCNA1;TRAF4;PIK3CA;IFNG;TRAF3;TRAF6;TRAF5;BIRC5;BIRC7;MET;CRK;BIRC2;BIRC3;CAMK2B;CEBPA;HDAC2;RALA;CAMK2D;ROCK1;HDAC1;LAMA1;LEF1;CAMK2A;IL2RG;CBL;CDC42;MAPK8;GNG2;ERBB2;GNA12;E2F1;E2F2;MAPK1;HES1;BAK1;VHL;HES5;MAPK3;NTRK1;NOS2;TXNRD2;BAD;LAMB1;MTOR;PML;EPOR;RAD51;APC;RPS6KB1;IL2RA;IL2RB;RPS6KB2;BAX;KRAS
KEGG_2019_Human	RNA transport	115/165	1.577945174571693e-29	1.2150177844202036e-27	0	0	2.530754164741093	167.83669120710007	CYFIP2;EIF4A2;EIF4A1;NUP107;NUP188;POP1;GEMIN2;FMR1;EIF4A3;PNN;MAGOH;NUP214;THOC1;THOC3;THOC2;THOC5;RPP25L;THOC7;SRRM1;THOC6;NUP93;EEF1A1;DDX39B;CLNS1A;EEF1A2;GEMIN5;GEMIN6;NUP98;GEMIN7;KPNB1;NUP205;SEH1L;RBM8A;NUP160;FXR1;FXR2;POM121C;NUP85;TPR;EIF4EBP1;SMN2;EIF4EBP2;NUP88;EIF4EBP3;SMN1;EIF2B4;EIF2B3;UBE2I;EIF2B2;NUP155;ALYREF;UPF3B;UPF3A;NUP153;EIF2S2;EIF2S1;SNUPN;EIF2S3;EIF5;RNPS1;EIF4G3;EIF4G2;EIF4G1;NXT1;SUMO4;XPO1;SUMO1;SUMO3;NUP62;SUMO2;XPO5;EIF3CL;EIF2B1;UPF2;UPF1;PRMT5;SEC13;NCBP1;NCBP2;ELAC2;PABPC4;SENP2;RANGAP1;NUP50;STRAP;NUP54;PABPC1;EIF4E2;DDX20;NXF1;SAP18;NUP43;RPP14;RAE1;NXF5;EIF4E;EIF4B;PAIP1;RANBP2;XPOT;EIF3I;EIF3J;EIF3G;NUP35;EIF3H;ACIN1;EIF3E;EIF3F;NUPL2;EIF3C;EIF3D;RAN;EIF3A;EIF3B;NUP37
KEGG_2019_Human	Cellular senescence	108/160	5.604870644530342e-26	3.4526003170306916e-24	0	0	2.4509803921568634	142.50876578473654	RB1;MRE11;TRAF3IP2;CALML3;PPP1CC;CCND3;CCND2;CCND1;CHEK2;MYC;AKT2;RASSF5;CHEK1;AKT3;AKT1;NBN;BTRC;FBXW11;IGFBP3;HLA-B;TSC2;HLA-C;TSC1;HLA-A;HLA-F;HLA-G;CDC25A;HLA-E;CCNE2;CCNE1;MAPKAPK2;VDAC3;VDAC1;RAF1;SQSTM1;TP53;PPID;ITPR1;ITPR2;PIK3R3;GATA4;PIK3R2;PIK3R1;KIR2DL1;FOXO3;KIR2DL2;KIR2DL3;FOXO1;CCNB2;CCNB1;EIF4EBP1;MAP2K6;SMAD2;SMAD3;GADD45B;GADD45A;NFATC2;NFATC1;NFKB1;GADD45G;CDK6;CDK4;TRPV4;CDK2;MDM2;CDK1;CALM3;ATM;CALM1;CALM2;RAD9A;ATR;LIN54;CDKN1A;CXCL8;PTEN;FOXM1;PPP3CA;SIRT1;TGFBR1;TGFBR2;CCNA2;RBL2;CCNA1;MRAS;PIK3CA;SLC25A5;SLC25A4;RELA;NRAS;RBBP4;E2F1;E2F2;MAPK1;MAPK3;HIPK4;CDKN2B;CDKN2A;HIPK1;HIPK3;MTOR;HIPK2;MAPK13;PPP1CA;MAPK11;RAD50;KRAS;RAD1
KEGG_2019_Human	Human immunodeficiency virus 1 infection	131/212	1.294462485549452e-25	6.644907425820519e-24	0	0	2.2437346706677084	128.5806522215874	CALML3;TNF;CRKL;DCAF1;TBK1;AKT2;CHEK1;AKT3;CFL1;AKT1;BTRC;B2M;MAP3K7;SKP1;PRKCG;PDIA3;PRKCB;FBXW11;HLA-B;TAP2;HLA-C;TAP1;PRKCA;HLA-A;HLA-F;CDC25C;HLA-G;HLA-E;RBX1;RAF1;CUL5;CUL1;ITPR1;PIK3R3;ITPR2;PIK3R2;PIK3R1;CCNB2;CCNB1;IRAK1;PLCG2;RIPK1;PLCG1;FADD;MAP2K7;MAP2K6;JUN;NFATC2;NFATC1;PTK2;NFKB1;NFKBIA;GNAO1;GNB2;GNB1;BCL2;CDK1;CYCS;CALM3;ATM;TAB2;CALR;GNB5;TAB1;CALM1;CALM2;MYD88;ATR;BCL2L1;TRADD;FASLG;IKBKB;CASP9;PPP3CA;CASP8;TRIM5;CASP3;RAC2;RAC3;ELOB;RAC1;IKBKG;CCR5;CHUK;TRAF2;FOS;TNFRSF1B;TNFRSF1A;TAPBP;DDB1;PIK3CA;IRF3;TRAF6;TRAF5;TLR4;CRK;TLR2;CXCR4;SAMHD1;GNAI1;RELA;GNAI2;NRAS;PAK1;MAPK8;GNG2;PAK6;PTK2B;MAPK1;BAK1;BID;PAK3;PAK2;PAK5;PAK4;MAPK3;BAD;LIMK2;LIMK1;MTOR;MAPK13;CUL4A;MAPK11;CD4;WEE1;RPS6KB1;RPS6KB2;FAS;BAX;KRAS;CUL4B
KEGG_2019_Human	Hepatitis B	108/163	5.91023900604884e-25	2.6005051626614894e-23	0	0	2.4058703235895584	134.21855179428613	RB1;ATF2;ARAF;TNF;ELK1;TBK1;MYC;AKT2;AKT3;AKT1;EP300;MAP3K7;PRKCG;TICAM2;PRKCB;PRKCA;TICAM1;CCNE2;CCNE1;VDAC3;RAF1;TP53;ATF4;PIK3R3;PIK3R2;PIK3R1;IRAK1;FADD;MAP2K7;MAP2K6;SMAD2;STAT5B;CREBBP;SMAD4;JUN;SMAD3;NFATC2;NFATC1;BRAF;NFKB1;NFKBIA;MAVS;CDK2;BCL2;CYCS;TAB2;GRB2;TAB1;MYD88;CDKN1A;CXCL8;DDX3X;YWHAB;FASLG;CASP9;IKBKB;CASP8;YWHAQ;CASP10;CASP3;IKBKG;JAK2;JAK3;IKBKE;JAK1;APAF1;CHUK;TYK2;FOS;YWHAZ;TGFBR1;TGFBR2;DDB2;CCNA2;DDB1;CCNA1;CREB1;PIK3CA;IRF3;TRAF3;TRAF6;BIRC5;TLR4;TLR3;TLR2;PCNA;SRC;RELA;NRAS;MAPK8;E2F1;STAT4;E2F2;PTK2B;MAPK1;STAT6;BID;MAPK3;MAP3K1;BAD;STAT1;STAT2;STAT3;MAPK13;MAPK11;FAS;BAX;KRAS
KEGG_2019_Human	Human cytomegalovirus infection	135/225	1.3612872352509218e-24	5.240955855716049e-23	0	0	2.178649237472767	119.72464375434963	RB1;ATF2;CALML3;ELK1;TNF;CRKL;TBK1;CCND1;MYC;AKT2;AKT3;AKT1;PRKACA;B2M;IL6R;PRKCG;PDIA3;PRKCB;HLA-B;TAP2;HLA-C;TSC2;TAP1;PRKCA;TSC1;HLA-A;HLA-F;HLA-G;HLA-E;ADCY9;RAF1;TP53;ATF4;CCL3L1;ITPR1;PIK3R3;ITPR2;PIK3R2;PIK3R1;EIF4EBP1;RIPK1;FADD;MAP2K6;CCR1;NFATC2;NFATC1;PTK2;NFKB1;NFKBIA;GNAO1;CXCL12;CDK6;SP1;CDK4;GNB2;GNB1;MDM2;CYCS;CALM3;GRB2;CALR;GNB5;CALM1;CALM2;GSK3B;CDKN1A;CXCL8;TRADD;ITGB3;FASLG;CX3CL1;IKBKB;CASP9;PPP3CA;CASP8;CASP3;RAC2;RAC3;RAC1;IKBKG;CCR5;CCR3;JAK1;ARHGEF11;CHUK;TRAF2;RHOA;TNFRSF1A;TAPBP;CREB1;PIK3CA;IRF3;IL1B;TRAF5;ARHGEF1;CRK;ROCK1;PTGER1;SRC;ADCY3;CXCR4;PTGS2;GNAI1;RELA;EGFR;GNAI2;NRAS;GNG2;CCL5;CXCR2;GNA12;CCL4;E2F1;CCL3;E2F2;PTK2B;CCL2;MAPK1;BAK1;BID;MAPK3;IL10RB;CDKN2A;IL10RA;STAT3;MTOR;MAPK13;MAPK11;RPS6KB1;RPS6KB2;CTNNB1;FAS;BAX;KRAS;BCAR1
KEGG_2019_Human	Apoptosis	98/143	1.7733053403220556e-24	6.06864494243548e-23	0	0	2.4884338609828807	136.09044965180294	TNF;ACTB;ACTG1;AKT2;AKT3;AKT1;MAP3K5;DAXX;ENDOG;TUBA4A;ERN1;DDIT3;RAF1;TP53;ATF4;DIABLO;ITPR1;HTRA2;ITPR2;PIK3R3;CSF2RB;PIK3R2;PIK3R1;BCL2L11;PMAIP1;RIPK1;FADD;MCL1;NGFR;JUN;GADD45B;GADD45A;EIF2AK3;TNFRSF10A;EIF2S1;NFKB1;GADD45G;NFKBIA;BCL2;CYCS;ATM;MAP3K14;BCL2L1;TRADD;FASLG;LMNB1;BBC3;CASP9;IKBKB;TUBA1C;CASP7;TUBA1B;CASP8;TUBA1A;AIFM1;CASP6;CASP10;CASP3;CASP2;CTSH;IKBKG;SPTAN1;CTSB;DFFA;APAF1;CHUK;PARP1;PDPK1;TRAF2;TRAF1;FOS;SEPT4;TNFRSF1A;PIK3CA;BIRC5;BIRC6;BIRC7;BIRC2;BIRC3;BECN1;TUBAL3;BCL2A1;XIAP;RELA;TUBA3E;NRAS;MAPK8;TUBA3C;MAPK1;BAK1;BID;MAPK3;NTRK1;BAD;CFLAR;FAS;BAX;KRAS
KEGG_2019_Human	Ubiquitin mediated proteolysis	95/137	2.2824570610856683e-24	7.029967748143859e-23	0	0	2.5179036199502782	137.0665898712369	DET1;UBE2D4;UBE2D2;UBE2D3;KEAP1;UBE2D1;CBLC;UBE3A;UBE2L6;BRCA1;PRPF19;UBE2L3;CDC20;HERC3;HERC2;UBE2Q2;CDC27;FBXO4;ELOB;BTRC;SKP2;SKP1;PIAS4;FBXW8;ANAPC7;FBXW7;FBXW11;FBXO2;UBE2E3;UBE2E1;UBE2E2;UBE4B;RBX1;PIAS1;DDB2;DDB1;TRAF6;ANAPC4;NHLRC1;BIRC6;BIRC7;BIRC2;BIRC3;PRKN;CUL7;CUL5;AIRE;CUL3;CUL2;CUL1;NEDD4L;XIAP;KLHL13;RCHY1;CBL;RHOBTB1;UBE2J1;RHOBTB2;FZR1;SOCS1;UBR5;VHL;UBE2H;UBE2I;MAP3K1;PPIL2;UBE2B;SMURF2;UBE2C;SMURF1;SIAH1;HUWE1;SYVN1;WWP1;WWP2;UBE2A;UBE2G2;PML;CUL4A;UBE2W;ITCH;UBE2S;NEDD4;UBE2N;MDM2;UBA2;ERCC8;UBA1;TRIM37;TRIP12;STUB1;SAE1;UBE2K;UBE2M;CUL4B
